RESPID,PHTYPE,economic_situation,registered_vote,likely_to_vote,vote_choice_undecided,approve_trump,approve_biden,optimistic,elec_enthusiasm,party,party_unaffiliated,political_leaning,education,age,age_bin,latino,race,gender,state,FINALWGT,vote_choice,vote_choice_recoded,party_recoded,age_recoded,race_recoded,male,education_recoded,region
141,2,2,True,1.0,,False,False,True,2.0,2,,1,8,70,,False,1,2,12,0.622354600919999,2.0,2.0,2.0,3.0,1,False,2,3
144,2,1,True,1.0,,False,True,True,1.0,2,,3,2,41,,False,1,2,13,1.29441296648,2.0,2.0,2.0,2.0,1,False,1,3
154,2,2,False,,,False,False,False,,1,,3,2,26,,False,1,1,42,1.16405963472,,,1.0,1.0,1,True,1,1
157,2,2,True,1.0,,False,True,True,1.0,1,,3,6,84,,False,1,1,12,0.896859544259999,2.0,2.0,1.0,3.0,1,True,2,3
171,2,2,True,1.0,,False,False,False,3.0,1,,2,7,64,,False,1,1,42,0.56376920922,1.0,1.0,1.0,3.0,1,True,2,1
187,1,2,True,1.0,,False,False,False,1.0,2,,2,3,74,,False,1,1,42,1.34917904414,2.0,2.0,2.0,3.0,1,True,1,1
194,1,2,True,1.0,,False,False,True,3.0,1,,2,5,71,,False,1,2,21,0.9978493485,1.0,1.0,1.0,3.0,1,False,2,3
200,2,2,False,,,False,False,False,,3,3.0,4,3,63,,False,1,1,36,1.20916989805,,,3.0,3.0,1,True,1,1
201,2,3,True,1.0,,False,False,True,1.0,4,1.0,2,6,27,,False,1,1,37,1.3542298925,1.0,1.0,1.0,1.0,1,True,2,3
202,2,1,False,,,False,False,False,,3,3.0,4,3,22,,False,1,1,42,1.0841731892,,,3.0,1.0,1,True,1,1
203,2,2,True,1.0,,False,False,True,3.0,2,,3,3,61,,False,1,2,13,1.43317902928,2.0,2.0,2.0,3.0,1,False,1,3
220,2,2,True,1.0,,True,False,True,1.0,1,,2,3,65,,False,1,2,34,1.44445640052,1.0,1.0,1.0,3.0,1,False,1,1
231,1,2,True,1.0,,True,False,True,1.0,3,1.0,2,7,99,3.0,False,1,2,39,0.55963313735,1.0,1.0,3.0,3.0,1,False,2,2
