RESPID,PHTYPE,approve_trump,approve_biden,optimistic,party,party_unaffiliated,state,FINALWGT,vote_choice_recoded,male,registered_vote_True,region_2,region_3,region_4,economic_situation_2,economic_situation_3,economic_situation_9,likely_to_vote_2.0,likely_to_vote_3.0,likely_to_vote_4.0,likely_to_vote_9.0,education_recoded_2,education_recoded_3,elec_enthusiasm_2.0,elec_enthusiasm_3.0,elec_enthusiasm_9.0,political_leaning_2,political_leaning_3,political_leaning_4,race_recoded_2,race_recoded_3,race_recoded_4,race_recoded_9,party_recoded_2.0,party_recoded_3.0,age_recoded_2.0,age_recoded_3.0
392,2,False,False,True,2,,17,0.70199176598,2.0,True,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
395,1,False,True,True,2,,55,1.4379646929,2.0,False,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
404,1,False,False,True,2,,42,1.50110174956,2.0,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
424,2,False,False,False,2,,21,0.778439355,2.0,False,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
426,2,False,True,True,3,1.0,42,0.4883343957,2.0,True,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
428,2,False,True,True,3,3.0,28,0.627049722049998,2.0,True,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
429,2,True,False,True,1,,47,1.11138759054,1.0,True,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
434,1,False,False,True,3,2.0,26,0.813749505650003,2.0,False,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
437,1,False,False,False,2,,17,0.624432763780002,2.0,False,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
449,1,True,False,True,4,1.0,47,1.15445667915,1.0,True,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
457,1,False,False,True,1,,36,0.56376920922,1.0,True,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
460,2,False,False,False,2,,39,1.21733508662,2.0,True,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
464,2,True,False,True,1,,26,0.994696715160003,1.0,True,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
485,1,False,False,False,2,,25,0.54487837836,2.0,True,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
497,2,True,False,True,1,,26,1.0011813621,1.0,False,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
498,1,False,True,True,2,,55,0.624432763780002,2.0,False,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
499,2,False,False,False,2,,39,0.58073528032,2.0,False,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
504,1,False,True,True,2,,42,0.851911266440002,2.0,True,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
505,1,False,False,False,2,,42,1.08612637014,2.0,False,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
507,2,False,False,True,1,,42,1.44445640052,1.0,False,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
510,2,False,True,True,2,,42,0.58587780566,2.0,True,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
512,1,False,False,True,1,,21,0.9978493485,2.0,False,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
516,2,False,False,False,2,,36,0.815331968120002,2.0,False,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
521,1,True,False,True,1,,17,1.2436609131,1.0,True,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
522,1,True,False,False,1,,55,0.54005680716,1.0,True,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
529,1,False,False,True,2,,23,0.651849881080001,2.0,False,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
546,2,False,False,True,3,2.0,26,0.8380996235,2.0,True,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
553,1,False,True,True,1,,5,0.896859544259999,1.0,True,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
