RESPID	PHTYPE	S1	S2	S3	S4	S5	S6	S7	S8	QX1	QX1A	QX2	QX3	QX3A	QX4	Q1	Q1A	Q1X	Q1Y	Q1Z	Q2	Q3	Q4A	Q4B	Q5	Q6	Q7	Q8	QD1	QD1A	QD2	QD3	QD4	QD4A	QD5	QD6	QD7	QD8	FINWGT
946	2	1	1	2	1	1	2	163	14	1		1	2			1					3	1	1	1	4	5	9	2	2		3	5	39		2	2	2	2	1.663630174
947	1	2	1	2	1	1	1	97	1	1		1	1										2	2	4	1	2	1	1		5	5	57		2	1	3	1	0.810924831
950	2	1	2	1	1	1	2	163	13	1		2	2			1					1	2	2	1	4	2	2	2	3	2	3	7	33		2	2	2	1	1.162229653
951	1	1	1	1	1	1	1	125	9	9	2				1								2	1	3	2	2	1	2		4	3	25		2	3	4	1	1.172590102
954	1	2	2	2	1	1	3	159	6	1		1	9	2		9	99				10	1	1	1	4	2	3	2	3	2	2	7	59		2	1	8	1	1.221873723
956	1	1	1	1	1	1	1	61	1	1		4			1								2	2	4	2	2	1	1		4	7	41		2	1	3	1	0.896676274
957	1	2	2	2	1	2	2	17	5	1		1	2			2					3	3	1	1	4	2	3	4	4	2	4	6	58		2	1	2	2	0.856069335
958	1	2	2	1	1	2	3	117	4	3	2				4								2	2	4	1	1	1	4	1	1	6	21		2	1	1	2	1.405914983
962	2	1	1	2	1	1	2	161	12	1		0	2					2			8	2	1	1	4	3	3	2	4	2	1	7	22		2	1	1	2	1.125627067
963	2	1	2	2	1	1	3	125	14	1		3			2								1	1	1	5	2	2	9	9	4	9	23		2	2	2	1	1.78823969
966	1	2	2	2	1	1	3	115	7	1		0	1										2	2	4	1	1	1	3	1	4	7	66		2	1	3	2	1.751211896
967	1	1	2	2	1	1	3	125	8	1		1	1										2	2	4	3	2	1	1		4	7	41		2	1	4	1	1.751211896
969	2	2	2	1	2	1	3	65	8	1		1	2			1					2	3	1	1	4	5	4	2	3	2	1	5	99	3	2	1	9	2	1.533861671
975	2	2	2	2	1	1	2	95	1	1		4			1								2	2	4	1	1	1	3	3	5	3	56		2	1	3	1	1.041798245
978	2	1	2	2	1	1	3	99	9	1		1	1										2	2	4	1	1	1	1		4	6	51		2	1	3	2	1.286796499
982	2	1	1	1	1	1	3	99	10	1		0	9										9	9	4	2	9	9	3	3	9	7	99	3	2	9	2	2	0.862967337
986	1	1	2	2	1	1	1	31	1	1		1	2			1					4	1	1	1	4	2	3	2	2		4	6	53		2	1	1	2	0.785386035
987	1	2	2	2	2	1	3	157	5	1		1	1										2	2	4	1	1	1	1		4	6	55		2	1	3	2	1.405914983
988	2	1	1	1	1	1	1	129	4	1		1	1										2	2	4	1	1	1	3	1	5	3	62		2	1	3	2	0.785386035
991	2	2	2	1	1	1	2	163	13	1		1	1										2	1	4	2	2	2	2		5	3	55		2	1	1	2	0.984843355
992	1	1	1	1	1	1	1	95	1	1		1	1										2	2	4	1	1	1	1		5	7	57		2	1	4	2	0.605934779
994	2	1	2	1	1	1	2	81	2	1		1	2			1					1	1	1	1	4	3	3	2	2		3	6	59		2	1	1	2	0.856069335
995	1	2	2	1	1	1	2	41	1	1		0	2					99					1	1	4	1	4	9	3	2	9	8	61		2	9	9	2	0.660467796
1000	2	1	2	1	1	1	2	125	11	1		1	2			1					1	1	1	1	4	1	4	1	1		3	8	37		2	1	9	1	1.12439696
1002	2	2	2	2	1	2	3	163	12	3	1	2	2			2					1	1	1	1	9	2	9	4	2		5	3	83		2	1	1	1	1.904231165
1003	2	1	2	1	1	1	1	93	8	1		2	2			2					3	1	1	1	4	3	2	2	2		3	7	40		2	1	2	1	1.229618026
1004	2	1	1	1	1	1	1	107	4	1		1	1										2	2	1	1	1	1	3	1	5	4	43		2	1	1	1	1.162232385
1006	2	2	2	2	1	1	3	125	14	1		1	2			99	2				3	3	1	1	1	1	4	2	4	2	5	3	37		2	2	4	1	2.107403145
1007	1	1	1	1	1	1	3	65	8	1		1	2			2					1	1	1	1	4	5	9	2	2		1	8	38		2	1	4	2	1.696060245
1008	2	1	2	2	2	1	2	151	10	1		1	2			1					3	1	1	1	3	2	3	2	3	2	2	7	41		2	1	1	2	0.946594595
1009	2	2	2	2	1	1	1	81	3	1		4			1								2	2	4	1	1	1	1		4	7	41		2	1	4	2	1.190893149
1011	1	1	2	2	1	1	1	155	4	1		1	1										2	2	4	1	2	1	4	1	5	3	38		2	1	3	1	1.162232385
1013	2	2	2	2	1	1	3	125	11	1		2	2			9	1				2	3	2	2	4	1	1	1	2		9	8	40		2	4	4	1	1.469137263
1017	1	1	2	1	1	1	1	145	4	1		1	2			99	2				3	3	1	1	4	9	2	2	2		3	7	44		2	1	9	1	0.896676274
1019	1	2	2	2	1	2	1	121	2	1		4			3								4	9	1	4	2	4	4	3	5	3	42		2	9	8	1	1.162232385
1020	2	2	2	1	1	1	1	77	6	1		2	9	9									1	2	4	2	2	1	3	2	3	4	48		2	1	4	1	1.593776854
1024	2	2	2	2	1	1	3	89	1	1		2	1										2	2	4	2	2	1	1		3	7	38		2	1	4	2	1.236820662
1025	1	2	2	2	2	1	1	93	8	1		0	2					2			8	1	1	1	4	4	3	4	3	2	1	5	18		2	1	3	2	1.353708401
1027	1	2	2	2	2	1	3	7	1	1		1	1										2	2	4	1	1	1	3	1	4	7	23		2	1	2	1	1.084680331
1028	1	2	2	1	1	1	1	21	6	1		0	1										2	2	4	2	2	1	3	1	5	3	21		2	1	1	2	1.353708401
1029	2	2	2	2	1	2	1	73	4	1		4			1								2	2	4	1	1	1	1		3	3	44		2	1	2	1	1.162232385
1030	1	2	1	1	1	1	3	41	1	1		2	2			2					1	2	1	1	4	2	3	2	2		1	8	25		2	1	1	1	1.084680331
1033	2	1	2	2	1	2	2	81	3	1		4			4								1	4	1	4	4	2	3	2	3	6	43		2	2	3	2	1.862017732
1036	1	2	2	1	1	1	2	161	12	1		1	2			1					1	2	1	1	4	5	9	2	2		2	7	23		2	1	3	2	0.955030566
1038	1	2	2	1	1	1	3	45	7	1		2	9	2		1					1	1	1	1	4	9	3	3	3	3	3	3	30		2	1	2	2	1.927940391
1039	1	2	2	2	2	2	3	87	10	9	9				9								9	9	9	9	9	4	9	1	9	3	99	1	2	9	9	2	1.405914983
1045	1	1	1	1	1	1	1	125	8	1		1	1										2	2	4	1	1	1	1		4	7	99	2	2	1	3	2	0.830922316
1051	1	1	2	2	1	1	2	161	7	1		3			1								2	2	4	2	1	1	1		5	6	62		2	1	4	2	1.173933466
1052	1	2	2	1	1	1	1	165	4	1		1	2			1					2	1	1	1	4	2	9	2	2		2	5	57		2	1	3	2	0.785386035
1055	1	2	2	2	1	2	1	105	2	1		1	9	9									2	2	1	3	1	1	3	3	4	3	61		2	1	2	2	0.785386035
1057	1	1	1	1	1	1	3	21	6	1		3			1								2	2	4	1	2	1	1		5	3	61		2	1	4	2	1.533861671
1063	1	1	1	2	1	1	1	131	1	1		4			1								3	3	4	4	3	3	3	3	3	6	45		2	1	3	2	1.125629713
1068	1	1	2	1	1	1	2	1	1	1		1	2			2					1	2	1	1	4	2	4	2	3	2	2	3	59		2	1	2	2	0.856069335
1070	1	1	1	1	1	1	1	125	9	1		1	1										3	3	4	4	3	2	3	3	3	7	61		2	1	2	1	0.71974975
1071	1	2	2	2	1	1	3	125	11	1		1	9	9									9	9	2	2	9	9	4	9	3	7	77		2	1	4	2	0.644702395
1074	1	2	2	2	1	1	1	25	3	1		4			2								3	1	3	1	4	2	4	2	3	6	65		2	1	4	2	0.699398062
1077	1	2	1	1	1	1	1	157	10	1		0	9										2	2	4	9	1	1	1		3	4	99	4	2	1	8	2	0.510023142
1078	1	2	2	2	2	1	2	41	1	1		2	9	1									9	2	3	2	2	1	3	1	2	3	58		2	1	9	1	0.883906576
1079	1	2	2	2	1	1	2	163	13	1		1	1										1	1	4	9	4	2	2		9	2	99	9	2	2	9	2	0.753791303
1082	1	1	2	2	1	1	1	71	1	1		0	1										2	2	4	1	1	1	1		4	6	76		2	1	2	1	0.526607823
1086	1	1	2	2	1	1	3	5	6	1		2	9	2		1					9	2	1	1	4	1	4	3	3	1	1	3	70		2	1	2	1	0.996076978
1088	1	1	1	1	1	1	3	117	4	1		1	9	2		1					1	1	2	1	4	9	1	2	3	2	3	8	64		2	1	3	2	0.560403792
1090	1	2	2	2	2	1	3	93	8	1		1	2			1					3	1	1	1	4	1	4	2	2		1	6	52		2	1	3	1	1.990632206
1091	2	1	2	2	1	1	1	37	4	1		4			1								2	2	4	1	1	1	3	1	5	7	33		2	1	4	1	0.786376835
1094	1	1	1	1	1	1	1	97	1	1		2	9	9									9	9	4	2	9	3	4	2	4	3	59		2	1	2	2	0.785386035
1099	1	2	2	1	1	1	2	57	4	1		0	2					1			8	1	1	1	4	4	2	2	2		3	7	62		2	1	3	2	0.660467796
1102	2	1	1	1	1	1	2	145	4	1		3			1								2	2	4	1	2	1	1		5	6	32		2	1	3	1	1.110999266
1104	1	1	2	1	1	1	1	93	8	1		4			1								9	9	4	1	2	9	1		5	3	50		2	1	9	2	1.077004995
1110	2	1	2	2	1	1	3	163	13	1		0	2					2			8	1	1	1	4	4	2	2	3	2	1	3	33		2	1	1	2	1.617399399
1112	1	1	2	1	1	1	1	103	1	1		1	1										2	2	4	1	1	1	1		4	5	52		2	1	9	2	0.785386035
1116	1	1	2	2	1	2	3	21	6	1		1	1										3	2	1	2	9	3	1		4	3	98		2	1	9	2	1.533861671
1123	1	2	2	2	2	2	3	37	4	3	2				3								2	2	2	2	2	4	1		3	3	18		2	1	2	2	1.555919109
1124	1	2	2	1	1	1	2	61	1	1		1	2			1					1	1	1	1	4	2	3	2	2		3	8	64		2	1	3	1	0.660467796
1127	1	1	2	1	1	1	1	125	11	1		1	1										2	2	4	1	1	1	1		4	8	53		2	1	3	2	0.697082369
1132	1	2	2	2	2	1	1	23	7	1		2	2			1					1	2	9	1	4	4	2	4	4	3	2	6	54		2	1	1	1	1.112026513
1139	1	1	2	2	1	2	1	163	12	1		2	1										2	2	4	1	1	1	1		5	8	48		2	1	4	1	0.876176307
1140	2	2	1	2	1	2	2	129	4	1		1	9	1									2	2	4	1	1	1	4	1	4	3	55		2	1	3	1	0.883906576
1148	1	1	2	2	1	1	2	37	4	1		2	9	9									9	9	1	3	9	2	3	9	4	7	54		9	9	3	2	0.73093642
1150	1	1	1	1	1	1	1	125	11	1		1	2			1					1	1	1	1	4	2	3	2	2		3	6	60		2	1	4	2	0.903527536
1153	1	1	1	1	1	1	3	165	4	1		0	1										2	2	4	1	1	1	1		4	8	55		2	1	9	2	0.862967337
1154	1	2	2	2	1	1	1	115	7	1		1	2			1					1	1	4	1	2	1	3	2	2		3	3	58		2	1	2	2	1.077004995
1158	1	1	1	1	1	1	1	77	6	1		0	1										2	2	4	1	4	1	1		5	3	60		2	1	8	2	1.077004995
1159	1	1	2	1	1	1	1	107	4	1		4			1								2	2	4	1	1	1	4	9	5	7	98		2	1	3	2	0.605934779
1162	1	2	2	2	1	1	3	99	9	1		0	2					99					1	1	4	5	4	2	3	2	2	3	56		2	1	8	2	1.286796499
1164	2	2	2	2	1	2	2	159	6	1		1	9	1									2	2	4	1	1	1	1		9	5	65		2	1	2	2	0.762342603
1167	1	2	2	1	1	1	3	73	4	1		0	2					1			8	1	1	1	4	1	3	2	2		1	7	21		2	1	4	2	1.084680331
1169	2	1	2	1	1	1	2	49	5	1		0	2					99					1	1	4	9	9	2	3	9	2	6	68		2	1	3	2	0.555924288
1170	2	1	1	1	1	1	1	163	13	1		0	9										2	2	1	2	2	1	1		4	3	83		2	1	2	1	0.605822675
1171	2	1	1	1	1	1	2	23	7	1		0	2					2			8	1	1	4	4	1	3	2	3	2	1	4	67		2	1	2	2	0.762342603
1172	1	2	2	2	2	1	3	87	10	1		1	2			2					4	2	1	1	2	2	2	4	4	2	3	5	20		2	3	2	2	1.405914983
1177	2	2	2	1	1	1	2	163	14	1		1	2			2					1	2	1	1	4	5	9	2	2		2	5	64		2	2	3	1	0.778302718
1178	2	2	2	2	1	2	1	111	4	1		1	1										2	2	4	1	1	1	1		5	3	76		2	1	2	1	0.526607823
1183	2	1	1	1	1	1	2	125	8	1		0	1										2	2	1	4	1	1	3	1	4	8	68		2	1	4	1	0.607281877
1184	2	1	2	1	1	1	1	57	4	1		1	2			2					1	1	1	1	4	5	9	2	2		3	7	36		2	1	2	2	0.868436871
1190	2	1	1	2	1	2	1	81	3	1		3			3								2	2	1	5	2	1	1		3	3	86		2	1	1	2	0.699398062
1191	1	2	2	2	1	2	2	21	6	1		1	2			2					1	3	1	1	4	2	3	2	2		4	5	28		2	2	2	1	1.795666046
1196	1	2	2	2	2	2	3	13	1	1		2	1										2	2	2	3	2	4	4	1	3	3	20		2	1	3	2	1.555919109
1197	2	1	1	1	1	1	1	125	11	1		0	1										2	2	4	1	2	1	1		5	8	99	4	2	1	3	1	0.467399486
1201	2	1	2	1	1	1	3	163	12	1		0	1										2	2	4	1	1	1	3	1	5	3	83		2	1	9	2	0.835634916
1207	1	2	2	2	2	2	3	111	4	1		3			1								2	2	3	1	1	4	1		5	7	22		2	1	1	1	1.239444671
1212	2	1	1	1	1	1	3	163	13	1		0	2					1			8	1	1	1	4	3	2	2	3	2	3	8	71		2	1	3	1	0.66566651
1215	1	1	2	1	1	1	1	125	11	1		4			3								9	9	2	3	2	3	3	3	3	7	55		2	1	4	1	0.697082369
1216	1	2	2	1	1	1	1	145	4	1		1	1										2	2	4	2	2	1	1		3	5	23		2	1	4	1	1.019267099
1217	2	2	2	2	1	2	3	115	7	1		3			1								2	2	4	1	1	4	3	1	3	3	31		2	1	8	1	1.990632206
1225	1	2	2	1	1	1	1	77	6	1		1	9	2		1					1	1	1	1	4	2	3	2	3	2	3	7	57		2	1	4	2	0.830922316
1227	1	2	2	1	1	1	1	145	4	1		4			1								2	2	4	1	2	1	3	1	4	7	59		2	1	4	1	0.625638267
1228	2	1	2	1	1	1	1	99	9	1		1	1										2	2	4	2	2	1	1		4	8	68		2	1	9	1	0.467399486
1234	2	1	1	2	1	1	1	81	3	9	1	4			1								2	2	4	9	5	1	3	3	3	8	63		2	1	2	1	0.557140276
1235	2	1	1	1	1	1	1	77	6	1		0	1										2	2	4	1	1	1	1		5	4	70		2	1	9	2	0.722140744
1236	2	1	1	1	1	1	1	129	4	1		0	1										2	2	4	1	1	1	1		5	7	82		2	1	3	1	0.406284274
1240	2	1	1	1	1	1	1	125	11	1		1	2			1					1	1	1	1	4	2	9	2	2		3	6	81		2	1	2	1	0.605822675
1241	1	1	2	1	1	1	1	125	9	1		1	2			2					2	3	2	2	4	1	1	1	3	1	4	7	53		2	1	3	1	0.71974975
1247	2	2	2	2	2	1	3	139	2	1		2	9	2		9	2				2	3	1	1	3	4	1	3	3	2	3	7	34		2	1	2	1	1.119951432
1248	2	1	1	1	1	1	1	161	7	1		0	1										2	2	4	1	1	1	1		4	8	86		2	1	1	1	0.557140276
1250	2	1	1	2	1	1	3	35	4	1		1	1										2	2	4	1	1	1	1		3	2	82		2	1	9	1	0.749990538
1251	1	1	1	2	2	2	1	55	1	1		1	1										2	2	4	1	2	4	3	2	4	3	56		2	1	3	2	0.810924831
1252	1	1	2	2	1	1	1	111	4	1		1	1										2	2	4	2	2	1	3	1	3	4	40		2	1	4	1	1.162232385
1254	2	1	1	1	1	1	1	65	8	1		0	1										2	2	4	1	1	1	3	1	3	7	79		2	1	9	1	0.557140276
1255	2	1	1	1	1	1	2	125	11	1		0	2					5	2		8	2	1	1	4	4	2	2	2		1	8	78		2	1	3	1	0.509464581
1259	1	1	2	2	1	1	1	103	1	1		2	9	9									9	1	3	5	2	3	3	1	3	8	27		2	1	4	1	0.786376835
1266	2	1	1	1	1	1	1	117	4	1		1	1										2	2	3	2	2	1	1		3	3	56		2	1	1	2	0.785386035
1269	2	1	2	1	1	1	1	37	4	1		0	1										2	2	9	5	2	1	1		5	3	65		2	1	4	2	0.510023142
1270	2	1	2	1	1	1	1	163	11	1		1	1										2	2	4	2	2	1	1		3	6	65		2	1	2	1	0.605822675
1274	2	2	2	2	2	1	3	163	14	1		4			1								3	3	4	4	1	3	4	3	3	8	44		2	1	4	1	1.469137263
1275	2	1	2	2	1	1	2	163	13	1		1	9	9									1	1	4	9	9	4	2		4	6	99	9	2	9	9	1	0.660345603
1276	1	2	2	2	1	1	1	125	9	1		1	2			2					1	2	1	9	4	3	5	4	2		1	3	20		2	1	2	1	1.172590102
1280	1	1	1	2	1	1	1	55	1	1		1	1										2	2	4	1	1	1	4	1	4	5	51		2	1	3	1	0.810924831
1282	2	2	2	2	1	1	1	107	4	1		1	1										2	2	4	2	2	1	1		3	6	82		2	1	2	1	0.526607823
1285	1	2	1	2	1	1	1	41	1	1		3			4								1	2	1	9	4	4	4	1	3	2	18		2	1	1	1	0.810924831
1286	1	1	2	2	1	2	2	163	12	1		4			1								2	2	4	1	1	1	1		3	3	58		2	1	2	1	1.016868006
1293	2	1	2	1	1	1	1	77	6	1		1	1										3	3	4	4	3	3	3	1	3	7	63		2	1	4	1	0.557140276
1295	2	2	1	1	1	1	1	125	11	1		0	9										2	2	1	2	1	1	3	1	3	6	63		2	1	8	1	1.13566123
1297	2	2	1	1	1	1	1	161	7	1		1	2			99	99				10	2	1	1	4	2	9	9	4	3	1	7	89		2	1	2	1	0.557140276
1300	2	2	2	2	2	2	3	21	6	1		1	2			2					1	2	1	1	4	3	2	2	2		3	7	23		1	5	2	2	1.646130504
1301	2	1	2	1	1	1	2	163	13	1		1	2			2					3	1	1	1	4	2	4	2	2		2	7	33		2	2	2	2	1.125627067
1305	1	1	2	2	1	1	1	115	7	1		1	1										2	2	4	2	2	1	1		5	7	58		2	1	4	1	0.857941839
1307	1	1	1	1	1	1	1	77	6	1		2	1										2	2	4	1	1	1	1		5	7	45		2	1	3	1	1.229618026
1308	2	2	1	1	2	1	1	99	10	1		0	1										2	2	4	1	1	1	1		5	3	77		2	1	3	1	0.526607823
1309	2	2	2	1	1	1	1	37	4	1		1	1										2	2	4	3	2	3	3	3	3	8	44		2	1	4	2	0.670585002
1310	2	1	1	2	1	1	1	99	9	1		0	1										2	2	2	9	2	4	1		9	3	76		2	1	8	2	0.586743248
1313	1	2	2	2	1	1	2	163	13	1		2	2			1					2	2	1	1	4	2	9	4	2		1	5	55		2	2	2	2	1.160765296
1314	2	2	2	2	1	1	2	125	8	1		4			3								1	1	1	4	1	3	3	2	2	8	70		2	1	3	2	0.588156494
1315	2	1	1	1	1	1	3	79	1	1		0	2					1			8	1	1	1	4	9	2	2	2		3	6	70		2	1	4	2	0.749990538
1316	1	2	2	2	2	2	3	81	3	1		4			2								2	2	3	2	2	4	1		3	3	56		1	5	3	1	1.752716095
1317	2	2	2	1	1	2	2	163	13	1		4			4								4	9	4	5	2	9	2		1	2	99	9	2	3	9	1	1.506431007
1318	1	2	2	1	1	1	3	5	6	1		1	1										2	2	4	2	2	1	3	1	5	7	60		2	1	2	1	1.487429216
1319	1	1	2	2	1	1	1	119	1	1		1	1										2	2	4	1	9	1	3	1	3	6	50		2	1	2	1	0.810924831
1322	1	2	2	2	2	2	3	89	1	3	2				1								2	2	4	1	1	4	1		5	6	21		2	1	2	2	1.555919109
1323	1	2	2	2	1	1	3	17	5	3	1	1	1										2	2	4	1	1	1	1		1	3	72		2	1	2	2	1.405914983
1328	2	1	1	1	1	1	2	139	2	1		1	2			1					3	1	1	1	4	2	3	2	3	3	3	7	84		2	1	3	1	0.442849112
1329	1	1	2	1	1	1	1	103	1	1		1	1										2	2	4	1	1	1	3	1	4	3	58		2	1	3	1	0.810924831
1334	2	2	2	1	1	1	1	125	8	1		2	1										2	2	4	1	1	1	1		5	7	99	3	2	1	4	2	0.830922316
1336	2	2	2	1	1	1	1	151	10	1		1	1										2	2	1	1	1	1	1		3	5	49		2	1	2	1	0.810924831
1344	1	1	2	1	1	1	3	125	9	1		1	2			3					2	3	1	2	2	4	1	2	3	2	2	3	23		2	2	1	1	1.669993196
1347	2	1	2	2	1	1	1	105	1	1		1	2			1					1	1	1	1	4	2	3	2	3	2	3	5	57		2	1	4	1	0.810924831
1351	2	1	2	2	1	1	3	49	5	1		2	1										2	2	4	2	2	1	1		5	6	63		2	1	9	1	1.154912486
1352	2	1	1	1	1	1	3	95	1	1		1	1										2	2	4	2	2	1	1		5	7	47		2	1	9	2	1.236820662
1355	2	1	2	1	1	1	1	37	4	1		1	1										2	2	4	2	2	1	1		4	6	60		2	1	9	2	0.785386035
1359	2	1	1	2	1	1	3	35	4	1		1	1										2	2	4	1	2	1	1		3	5	50		2	1	2	1	0.726370771
1362	2	1	2	2	1	1	1	125	8	1		1	9	9									2	2	4	1	2	1	9	9	3	6	99	9	2	9	8	2	0.699398062
1367	2	2	2	2	1	1	1	5	2	1		1	1										2	2	4	1	1	1	3	1	3	8	55		2	1	4	1	0.625638267
1369	2	1	1	1	1	1	3	125	9	1		1	2			2					3	3	1	1	4	1	9	3	4	2	1	7	57		2	1	3	2	0.992778987
1375	2	1	1	1	1	1	1	45	7	1		0	1										2	2	4	2	1	1	1		4	5	97		2	1	8	2	0.699398062
1377	2	1	1	1	1	1	2	49	5	1		0	9										1	1	4	1	5	3	2		3	3	71		2	1	2	2	0.555924288
1379	2	2	2	2	2	1	2	147	10	1		1	9	9									1	1	3	4	2	4	3	3	2	3	24		2	1	3	2	1.076010099
1380	2	1	1	1	1	1	3	163	12	1		1	1										2	2	4	1	1	1	3	3	4	8	48		2	1	4	2	1.422869106
1384	1	2	2	2	2	2	3	109	1	1		2	1										2	2	2	2	2	4	1		3	3	18		2	1	2	1	1.60651372
1386	2	1	1	1	1	1	2	161	12	1		1	2			1					1	2	1	1	4	9	3	2	2		1	8	74		2	1	3	1	0.509464581
1388	1	1	1	1	1	1	1	61	1	1		1	2			2					1	3	2	2	4	1	2	1	4	1	3	4	53		2	1	3	1	0.810924831
1391	2	1	2	1	1	1	2	161	12	1		1	2			1					1	1	1	1	4	1	3	2	2		3	7	69		2	1	4	1	0.509464581
1394	2	1	1	1	1	1	1	139	2	1		1	2			1					1	1	1	1	4	1	4	2	1		3	8	61		2	1	9	1	0.625638267
1396	1	1	2	1	1	1	1	1	1	1		1	2			1					1	1	1	1	4	1	4	2	3	3	3	7	61		2	1	3	1	0.625638267
1398	2	1	1	1	1	1	1	117	3	1		1	2			1					1	1	1	1	4	1	4	2	2		5	3	67		2	1	8	2	0.699398062
1401	2	1	1	1	1	1	1	125	14	1		1	9	9									9	9	4	4	9	9	3	3	3	9	81		2	1	1	2	0.533067091
1403	1	1	1	1	1	1	1	139	2	1		2	2			99	99				10	3	1	1	4	3	2	3	3	3	3	7	45		2	1	2	2	0.868436871
1409	1	2	2	2	2	1	3	45	7	1		0	2					4	2		8	2	1	1	4	2	2	4	2		3	6	20		2	1	3	2	1.927940391
1411	2	1	1	1	1	1	1	125	11	1		0	2					1			8	1	1	1	4	1	4	2	2		2	5	72		2	1	2	2	0.586743248
1413	1	2	2	1	2	1	1	145	4	1		2	2			9	9				3	3	2	2	4	1	1	1	3	1	5	7	53		2	1	4	1	0.786376835
1415	2	1	1	2	1	2	2	145	5	1		1	2			1					1	1	9	1	1	2	2	4	2		4	3	85		2	4	1	2	0.655228689
1416	2	1	1	1	1	1	1	7	1	1		1	9	2		1					3	2	2	9	4	2	2	2	1		3	8	66		2	1	4	1	0.406284274
1419	2	1	2	2	1	1	2	65	8	1		3			1								1	1	4	2	3	2	2		1	7	99	9	2	2	2	2	0.588156494
1424	2	1	1	1	1	1	3	111	4	1		0	1										9	2	4	4	2	1	9	1	4	7	91		2	1	3	2	0.560403792
1426	2	1	1	1	1	1	1	163	13	1		1	9	9									2	2	4	1	1	1	3	3	5	9	99	9	2	9	9	1	0.550401104
1429	2	2	2	2	2	1	1	121	2	3	1	1	2			99	1				9	1	1	1	2	1	4	4	2		2	3	21		2	2	1	2	0.987166892
1430	2	1	1	1	1	1	2	65	8	1		0	1										2	9	4	2	2	9	3	1	3	2	88		2	1	2	2	0.762342603
1433	2	2	1	2	1	1	1	65	8	1		3			1								2	2	4	1	1	1	3	1	3	3	64		2	1	3	1	0.722140744
1436	2	2	2	1	1	1	2	99	10	1		4			2								1	1	4	3	4	2	2		4	3	79		2	1	2	2	0.555924288
1437	1	2	2	2	2	2	3	99	9	1		2	1										2	2	3	2	1	1	1		5	5	24		2	2	2	2	1.789967858
1438	2	2	2	2	1	1	2	99	9	1		1	1										2	2	4	1	1	1	1		9	3	76		2	1	9	1	0.660345603
1441	2	2	2	2	1	1	3	75	7	1		1	1										2	2	4	1	1	1	1		4	7	29		2	1	3	1	1.535796706
1442	2	1	1	1	1	1	3	161	12	1		0	2					1			8	1	1	1	4	2	3	2	2		3	7	72		2	1	3	1	0.66566651
1443	1	2	2	1	1	2	3	33	1	1		0	2					5	2		8	3	2	1	4	3	2	2	1		3	8	26		2	1	3	2	1.084680331
1450	1	1	2	2	1	1	2	157	5	1		1	1										2	2	4	1	2	1	3	1	4	3	55		2	1	2	2	0.856069335
1451	2	2	2	1	1	1	1	5	6	1		1	2			1					4	1	1	1	4	2	3	2	3	2	3	8	55		2	1	4	1	0.857941839
1454	2	1	2	1	1	1	3	163	14	1		1	2			2					1	1	1	1	1	1	4	2	2		2	8	55		2	2	3	2	1.170118464
1455	2	2	1	1	1	1	1	99	9	1		0	1										2	2	4	1	2	1	1		3	8	63		2	1	2	1	0.71974975
1458	2	2	2	1	1	1	1	21	6	1		0	9										2	2	3	1	1	1	3	1	5	4	70		9	1	9	2	0.699398062
1461	1	1	2	1	1	1	1	83	1	1		2	2			2					3	1	1	1	4	2	3	4	3	3	3	9	99	9	9	9	9	1	0.736740205
1463	2	1	1	1	1	1	1	139	2	1		0	9										1	9	9	5	1	1	4	9	5	3	79		2	1	9	1	0.526607823
1465	1	2	2	2	2	2	3	163	13	1		1	2			2					1	3	1	1	4	2	3	4	2		1	5	18		2	1	4	2	1.789967858
1468	2	1	2	1	1	1	3	93	8	1		2	1										2	2	4	1	1	1	3	1	4	7	63		2	1	3	2	1.183392741
1471	2	1	2	1	1	2	1	125	11	1		1	1										2	2	4	1	1	1	1		5	8	61		2	1	9	1	0.71974975
1474	2	1	2	2	1	2	3	163	11	1		1	1										2	9	4	9	2	1	1		4	5	84		2	1	1	2	0.835634916
1475	2	2	1	1	1	1	3	163	11	1		1	2			1					1	2	1	1	4	2	3	1	3	2	3	3	66		2	1	9	1	0.86280768
1476	2	1	1	1	1	1	1	45	7	1		4			1								1	1	4	2	9	2	3	2	3	5	69		2	1	3	2	0.699398062
1477	2	1	1	2	1	1	2	125	8	9	1	9			9								9	2	2	9	2	9	9	2	3	6	48		2	1	4	2	0.843680762
1479	1	2	2	2	2	2	3	103	1	1		1	1										2	2	4	2	2	4	3	1	4	5	20		2	1	3	2	1.60651372
1483	2	1	1	2	1	1	2	21	6	1		1	2			99	1				4	2	9	9	4	9	2	2	3	2	2	5	99	9	2	2	2	2	0.762342603
1492	2	1	1	1	1	1	2	125	8	1		1	2			99	99				10	1	1	1	4	4	9	2	2		5	8	65		2	1	3	1	0.607281877
1493	2	1	2	1	1	1	3	125	9	1		1	1										2	2	4	1	1	1	1		5	8	70		2	1	2	1	0.66566651
1494	1	1	2	1	1	1	1	163	11	1		4			1								2	2	4	2	1	1	3	1	4	3	63		2	1	3	2	0.903527536
1495	2	1	1	1	1	1	3	69	5	1		0	2					98					1	1	4	3	4	1	3	2	2	5	84		2	1	1	1	0.749990538
1496	2	1	1	1	1	1	1	35	4	1		1	9	9									9	9	4	9	2	9	9	9	5	9	99	4	2	1	9	2	0.463365456
1500	2	2	1	1	1	1	2	49	5	1		1	2			99	3				3	1	1	1	4	2	3	9	3	2	4	8	71		2	1	3	2	0.428902279
