RESPID	PHTYPE	S1	S2	S3	S4	S5	S6	S7	S8	QX1	QX1A	QX2	QX3	QX3A	QX4	Q1	Q1A	Q1X	Q1Y	Q1Z	Q2	Q3	Q4A	Q4B	Q5	Q6	Q7	Q8	QD1	QD1A	QD2	QD3	QD4	QD4A	QD5	QD6	QD7	QD8	FINWGT
153	2	2	2	1	1	1	1	163	14	1		1	2			1					1	2	1	1	4	2	9	2	2		3	8	37		2	1	4	1	1.031558582
156	2	2	2	1	1	1	1	99	9	1		0	2					2			8	1	1	1	4	3	3	2	2		2	7	23		2	1	2	1	0.904667377
162	2	1	1	1	1	1	1	117	4	1		1	2			2					1	2	1	1	4	3	2	4	2		2	3	40		2	1	3	2	1.125629713
163	2	2	2	2	1	1	2	125	8	1		1	2			1					1	1	1	1	4	2	3	2	2		3	7	45		2	1	4	1	1.340281389
165	2	2	2	2	1	1	2	49	5	1		1	2			99	99				10	1	1	1	4	2	4	2	2		4	8	51		2	2	3	2	0.778446737
167	2	1	1	1	1	1	1	117	4	1		1	1										2	2	4	1	2	1	3	1	5	7	81		2	1	2	1	0.406284274
168	2	1	1	1	1	1	1	93	8	1		3			1								2	2	4	2	2	3	3	1	3	7	58		2	1	3	1	0.857941839
169	2	1	1	1	1	1	3	121	2	1		0	2					1			8	1	1	1	4	1	4	2	2		3	3	76		2	1	2	2	0.726370771
173	2	2	1	1	1	1	1	163	11	1		0	2					1			8	1	1	1	4	2	3	2	2		4	6	60		2	1	3	2	0.586743248
174	2	2	1	1	1	1	1	81	2	1		0	2					2			8	1	1	1	4	1	3	2	1		3	7	78		2	1	3	1	0.406284274
175	2	1	1	1	1	1	3	121	2	1		2	2			1					1	1	1	1	4	2	4	2	3	2	3	6	57		2	1	3	2	1.118540343
178	2	1	1	1	1	1	2	163	13	1		9			1								9	1	4	3	9	2	2		4	2	92		2	2	9	2	0.753791303
180	2	2	2	2	1	1	1	91	7	1		4			1								2	2	4	1	2	1	1		4	7	60		2	1	4	2	0.830922316
183	2	1	1	1	1	1	1	123	2	1		1	1										2	2	4	3	1	1	3	1	3	7	66		2	1	3	1	0.406284274
186	2	1	1	1	1	1	2	161	12	1		0	2					1			8	1	1	1	1	2	3	2	2		3	8	78		2	1	4	2	0.493419799
188	2	1	1	1	1	1	2	25	3	1		1	2			2					1	1	1	1	2	3	1	2	2		9	6	75		2	1	3	1	0.927736987
190	2	1	2	1	1	1	2	163	13	1		1	2			2					1	1	1	1	4	1	4	2	2		5	2	80		2	1	1	2	0.639549062
191	2	1	1	1	1	1	1	93	8	1		0	9										9	9	4	2	2	3	3	9	4	3	93		2	1	8	2	0.699398062
195	2	1	2	2	1	1	2	163	13	1		1	2			1					1	1	1	1	4	5	5	2	2		4	3	99	4	2	2	9	2	0.753791303
196	2	1	1	1	1	1	1	55	1	1		2	1										2	2	4	2	2	1	3	1	4	7	66		2	1	2	2	0.4
199	2	2	2	2	1	1	1	21	6	1		3			1								1	9	1	3	2	3	2		3	3	82		2	1	2	2	0.699398062
203	2	1	1	1	1	1	3	125	11	1		1	2			1					1	1	1	1	4	2	3	2	2		2	5	70		2	1	2	2	0.835634916
205	2	1	2	2	1	2	3	23	7	1		2	9	9									2	2	4	2	9	1	4	3	4	3	64		2	1	1	2	0.996076978
206	2	1	2	1	1	1	2	163	11	1		0	2					5	2		8	2	1	1	4	3	1	3	3	3	3	8	73		2	1	3	1	0.563821914
211	2	2	2	2	1	1	1	121	2	1		2	1										2	2	4	1	1	1	4	1	3	5	70		2	1	2	1	0.526607823
212	2	1	1	2	1	1	1	163	12	1		1	9	9									9	9	1	2	1	2	2		3	8	74		2	1	9	1	0.467399486
215	2	2	2	1	1	2	2	163	12	1		1	2			1					3	3	1	1	1	1	2	2	2		4	3	79		2	3	9	1	0.73080119
216	2	2	2	1	1	1	1	161	12	1		4			1								9	9	9	5	5	2	3	2	3	8	70		2	1	3	1	0.467399486
222	2	1	1	1	1	1	1	67	3	1		2	1										2	2	4	2	2	1	1		5	8	50		2	1	4	2	0.830922316
223	2	1	1	1	1	1	2	161	12	1		1	2			2					4	1	1	1	2	3	2	3	2		1	7	55		2	1	3	1	0.784525906
224	2	1	1	1	1	1	1	117	4	1		0	9										2	2	4	2	2	1	1		5	3	66		2	1	2	2	0.510023142
225	2	1	1	1	1	1	3	163	13	1		1	1										2	2	4	2	1	1	3	1	3	5	72		2	1	1	1	0.954864962
226	2	1	1	1	1	1	1	161	12	1		0	1										2	2	4	1	1	1	1		5	5	83		2	1	1	2	0.586743248
232	2	1	1	1	1	1	1	67	3	1		1	1										2	2	4	1	1	1	1		5	6	99	4	2	1	9	2	0.699398062
