RESPID	PHTYPE	Q1	Q2	Q3	Q4	Q5	Q6A	Q6B	Q6C	Q6D	Q6E	Q6F	Q7	Q8	Q9	Q9A.1	Q9A.2	Q9A.3	Q10A	Q10B	Q10C	Q10D	Q10E	Q10F	Q10G	QD1	Q11	Q12	Q12B	Q13	Q14	Q15	Q16	Q17	Q18	Q19	QD2	QD2A	QD3	QD4	QD5	QD5A	QD6	QD7	QD8	QD9	QD10	QD11	FINALWGT
1522	2	1	1	20	4	4	2	1	1	1	1	2	3	3	1	98			1	2	1	2	2	1	2	1	1	1		1	3	1	1	3	3	1	4	1	1	7	22		1	1	2	1	1	48	1.18320927
1528	1	1	1	20	1	1	1	1	1	1	1	1	1	1	1	98			2	2	2	2	2	2	1	1	2	1		1	5	2	3	3	1	1	1		4	6	65		2	2	1	1	1	29	0.747415821674999
1529	1	2	2	20	3	1	1	2	1	1	2	1	1	1	1	2			2	1	2	2	2	1	1	1	1	8	1	4	3	2	2	1	1	1	3	1	5	3	49		2	2	1	1	1	47	1.556968673
1532	2	1	9	1	2	4	1	1	1	2	2	1	3	3	3				2	2	2	2	2	2	2	1	3	1		5	4	4	3	1	3	1	1		4	3	25		2	2	1	2	1	21	1.94573774127
1533	2	1	1	1	2	2	1	1	1	2	1	2	1	1	1	2			2	1	1	1	2	1	1	2				2	3	9	3	2	3	1	1		4	6	30		1	2	1	3	1	19	1.20669478263
1546	1	2	2	1	1	4	3	1	1	1	1	1	1	1	1	14			2	2	2	1	2	1	2	1	1	2		2	1	1	1	2	1	2	2		1	7	71		2	2	2	2	2	47	0.772958285
1547	2	2	2	3	3	2	9	2	2	9	2	9	2	1	2				2	2	2	2	2	2	2	2				5	5	5	3	1	3	2	9	3	9	2	38		1	2	1	8	2	18	1.818606244
1549	2	2	2	13	3	2	2	2	1	2	2	2	1	2	2				2	1	2	2	1	1	1	1	2	2		4	2	4	2	2	3	1	4	2	1	7	42		2	2	1	2	2	18	0.520428519
1551	1	1	1	20	1	2	1	1	1	2	3	3	1	1	2				2	2	2	1	2	2	2	1	1	1		2	4	1	3	3	1	1	1		5	3	89		2	2	1	2	2	29	1.278953712795
1564	2	1	1	20	3	1	1	1	1	1	1	1	1	1	2				2	2	2	2	1	1	1	1	1	1		2	1	2	3	2	3	1	2		3	3	44		2	2	1	1	2	48	1.65719169
1566	2	2	2	13	1	3	2	2	1	1	2	2	3	1	1	8	4	11	2	2	2	2	1	1	1	1	1	2		4	2	3	2	2	2	2	3	2	3	8	29		2	2	3	4	2	27	1.512422142
1568	1	1	1	30	4	1	1	1	1	1	2	3	1	1	2				2	2	2	2	2	1	1	2				2	1	2	2	2	1	2	2		2	4	33		1	1	4	1	2	48	3.86041444
1569	2	2	2	20	1	4	2	2	1	1	2	2	3	3	1	1	6	10	2	2	1	1	2	2	1	1	1	2		4	2	2	2	2	3	2	2		1	7	49		1	2	2	4	2	17	0.701014734
1571	1	2	2	20	2	3	2	2	1	2	2	2	3	3	1	98			2	2	2	1	2	1	1	1	1	2		4	3	4	2	2	3	9	2		1	6	77		2	2	1	1	2	55	0.824367198
1576	1	2	2	20	3	2	1	1	1	1	2	1	3	1	1	2			2	1	2	2	2	2	1	1	1	2		3	2	2	3	2	3	2	3	2	3	3	64		2	2	1	3	2	55	1.272590759
1582	1	2	2	13	2	3	2	2	2	3	9	2	3	3	1	3			2	2	2	2	2	1	1	1	1	2		4	2	2	1	2	1	2	2		2	8	65		2	2	1	3	2	29	0.604678218
1587	2	2	9	13	1	2	1	3	9	3	3	1	9	1	1	98	14		1	1	2	2	2	1	1	1	1	2		4	5	3	2	9	2	2	2		1	8	41		2	2	1	9	1	6	0.415253366
1588	2	2	2	2	1	4	2	2	1	1	1	1	3	1	1	9	10		2	2	2	2	2	1	1	1	1	2		4	2	3	1	2	3	1	3	2	3	5	69		2	2	1	3	1	29	0.743697335
1602	1	1	1	3	4	2	1	1	1	1	9	2	1	1	2				2	1	2	2	2	1	1	2				1	4	2	3	2	1	1	3	1	4	7	80		2	2	1	2	1	17	0.545506396
1607	1	1	1	20	2	1	1	1	1	2	1	1	1	1	2				1	2	2	2	2	2	1	1	1	1		1	3	1	3	2	1	1	3	1	3	8	48		2	2	1	3	2	26	0.520428519
1610	1	1	1	20	2	1	2	1	2	2	1	3	1	1	1	8			2	2	2	2	2	1	1	1	1	1		1	4	9	1	2	1	1	1		3	6	80		2	2	1	3	2	55	0.828489033990003
1614	2	2	2	20	2	3	3	2	9	2	2	2	3	1	1	2			2	1	2	1	2	1	1	1	1	2		1	3	4	2	1	2	2	3	2	2	6	27		2	2	1	1	1	18	1.200691326
1616	2	1	1	20	2	1	1	1	1	2	1	1	1	1	2				2	2	2	2	2	2	1	1	1	1		2	4	4	3	2	3	1	1		3	3	43		1	2	1	3	1	45	1.564753516365
1620	2	2	2	20	4	4	1	2	1	2	3	2	3	2	1	4	11		2	2	2	2	2	2	1	1	1	2		4	2	4	2	2	2	2	2		3	7	45		2	2	2	4	1	6	0.559344304
1622	2	2	2	13	1	4	1	2	1	3	3	3	3	3	1	3			1	2	2	2	2	2	1	1	1	8	2	4	3	4	3	2	2	2	3	3	3	6	32		1	2	1	4	1	55	1.200691326
1624	1	2	2	20	1	4	2	2	1	1	1	2	3	3	1	18			2	2	2	2	1	1	1	1	1	2		4	1	1	1	1	3	1	2		2	5	70		2	2	1	1	2	26	0.824367198
1638	1	1	2	13	2	2	1	1	1	2	1	1	1	2	1	6			2	2	2	2	2	1	1	1	1	1		1	4	2	3	2	1	1	3	1	4	7	50		1	2	1	4	2	39	0.520428519
1641	1	2	2	20	4	3	1	2	3	2	1	9	1	1	2				2	2	9	2	2	2	1	1	1	2		4	1	2	1	2	3	1	2		3	3	48		2	2	1	3	1	29	1.640643418
1643	2	2	2	3	1	2	1	2	2	2	2	2	3	3	1	10			2	1	2	2	1	2	1	1	1	2		4	1	3	3	2	2	2	2		3	5	70		2	2	1	4	2	26	0.824367198
1644	2	1	1	10	2	2	1	1	1	1	3	1	9	1	1	2			2	1	2	1	1	1	1	1	1	1		5	4	2	3	2	1	1	1		3	3	56		2	2	1	4	1	26	1.15379950806
1646	1	1	1	20	3	9	1	1	9	2	2	2	1	9	3				2	2	2	2	2	1	2	1	1	1		1	4	1	1	2	3	1	1		5	1	80		2	2	1	1	1	21	1.09495437621
1652	1	2	2	1	2	2	1	2	1	1	2	1	1	1	2				2	2	2	2	1	1	1	1	1	2		4	2	2	3	2	3	2	2		3	8	77		2	2	1	4	2	17	0.604678218
1653	1	2	3	20	2	2	1	2	1	2	2	1	1	1	3				2	1	2	2	2	2	1	2				4	3	3	3	2	3	2	3	2	2	5	26		1	2	1	1	2	39	1.33093195
1661	2	2	2	1	3	4	2	2	1	1	1	2	3	3	3				2	2	2	2	2	2	2	1	1	6	3	4	4	4	2	2	2	2	3	3	2	8	50		2	2	1	2	1	17	0.469501096
1663	2	2	2	20	1	2	3	2	1	3	2	2	3	3	1	6			2	2	2	1	2	2	1	1	3	7	2	4	3	4	3	1	2	2	3	3	5	4	73		2	2	1	3	2	13	1.207687133
1664	1	1	1	20	1	3	1	1	1	2	1	1	1	1	2				2	2	2	1	2	2	2	1	1	1		1	4	1	3	2	3	1	1		4	5	78		2	2	1	3	2	47	0.786235118504999
1667	2	2	2	20	1	2	1	2	2	1	3	3	3	3	1	10	9		2	9	2	2	2	1	1	1	1	2		4	1	2	1	2	1	2	2		3	7	34		1	2	1	3	2	40	0.700105071
1694	1	2	2	20	1	4	2	2	2	1	3	3	3	3	1	8			2	2	2	2	2	1	1	1	1	2		4	1	3	1	1	2	2	2		9	7	58		2	2	2	4	1	22	0.69731913
1696	1	1	1	20	2	2	1	1	1	2	2	3	1	1	1	6	10		2	2	2	2	2	1	1	1	1	1		1	4	2	1	1	3	2	1		5	3	65		2	2	1	1	2	1	1.213725568665
1704	2	2	2	20	2	2	1	2	1	1	2	1	1	1	1	2			2	2	2	2	2	2	2	1	1	2		4	1	1	1	2	2	2	2		3	8	60		2	1	4	4	1	48	0.931229518
1706	2	2	2	20	1	2	3	2	9	9	3	2	3	3	1	2	6	14	2	2	1	2	2	2	1	1	1	2		4	3	4	3	1	2	2	3	3	3	8	46		2	2	1	4	2	48	0.474236696
1709	2	9	3	20	4	1	3	1	1	2	3	1	1	1	1	2			2	1	2	2	2	1	1	1	1	6	2	5	5	4	2	1	3	1	3	3	1	3	54		1	2	2	9	1	48	2.013790687
1714	2	1	1	20	3	1	1	1	1	2	1	2	1	1	3				1	2	2	2	1	1	2	1	1	1		1	2	1	1	2	1	1	1		5	7	60		2	2	1	3	1	48	0.499574172645
1717	2	1	1	20	1	2	3	1	2	1	1	9	3	3	1	14	4		1	2	2	2	2	1	1	2				5	5	2	3	2	3	2	4	1	2	7	35		1	2	3	2	1	35	0.842198671
1730	2	2	2	20	1	3	2	2	1	1	2	9	3	3	1	18	6	8	1	2	1	2	1	2	1	1	1	2		4	2	5	1	2	2	2	2		2	8	39		1	2	1	4	2	22	0.493886052
1732	1	2	2	16	1	2	2	2	2	1	1	1	3	1	2				2	2	2	1	2	1	1	1	1	2		4	1	1	1	2	2	2	2		1	7	71		2	2	1	3	1	48	0.497088729
1735	2	1	1	1	3	2	1	1	1	9	3	9	1	1	2				2	2	2	2	2	2	2	1	1	1		1	4	5	3	2	1	1	1		5	5	38		2	2	1	3	2	40	0.984468735405003
1738	2	9	2	13	3	2	1	3	1	2	1	3	9	9	1	8			2	2	2	2	2	2	1	1	2	6	3	3	3	4	2	1	3	1	3	1	5	7	41		1	2	1	2	2	48	0.474236696
1747	2	2	2	20	1	3	1	2	1	1	2	1	1	1	1	2			1	2	2	2	1	1	1	1	1	2		4	2	5	2	2	3	2	3	2	3	7	52		2	2	1	4	2	22	0.493886052
1756	1	1	1	2	3	1	1	1	1	2	3	2	2	1	2				2	2	2	2	2	2	2	1	1	1		2	5	1	3	2	3	1	3	1	5	6	68		2	2	1	1	1	48	0.677688778
1761	1	2	2	20	1	3	2	2	2	2	2	2	3	3	1	99			2	2	2	2	1	1	1	1	1	2		4	2	1	2	2	3	9	2		5	5	66		2	2	2	3	2	40	1.011860937
1762	2	1	1	17	4	1	1	1	1	2	1	2	1	1	2				2	2	2	2	2	2	2	1	1	1		1	4	1	1	3	1	1	1		5	7	49		2	1	4	4	1	48	0.805488897449999
1765	2	9	3	20	1	3	2	1	1	2	2	1	3	1	3				2	2	2	2	2	2	2	2				3	5	5	3	2	3	2	3	3	2	2	49		1	1	4	2	1	12	2.916773411
1767	1	2	2	5	2	3	2	2	1	1	2	2	3	3	2				1	2	2	2	2	2	1	1	1	2		4	4	2	2	3	3	2	2		2	7	34		2	2	1	4	1	48	0.631595091
1768	1	1	2	2	3	1	1	1	9	9	3	3	1	9	3				2	2	2	2	2	2	1	1	1	1		1	4	2	3	2	9	1	3	1	5	3	82		2	2	1	9	1	48	1.046160593
1769	2	1	1	12	3	2	1	1	1	2	2	2	1	1	3				2	2	2	2	2	2	2	1	1	1		2	4	1	3	2	1	1	3	1	3	7	37		2	2	5	3	1	40	0.842198671
1772	2	1	1	20	3	1	1	1	1	1	9	1	1	1	2				2	1	2	2	2	1	1	1	1	1		1	3	1	3	2	1	1	1		5	7	48		1	2	1	4	1	5	0.447783766935
1774	1	1	2	3	1	2	1	3	1	2	2	9	3	1	1	98	14		2	2	2	2	1	1	1	1	1	1		1	4	2	3	1	3	2	1		5	7	65		2	2	1	2	2	48	0.5537636631
1776	1	1	1	30	4	2	2	1	1	2	1	2	3	1	3				2	2	2	2	2	2	1	1	1	1		1	4	1	1	3	3	1	1		5	7	84		2	2	1	2	1	48	0.499574172645
1780	2	2	2	3	1	4	9	2	1	1	1	3	3	1	1	3			1	2	1	1	1	2	1	1	1	2		4	2	1	3	1	2	2	2		1	7	42		1	2	1	1	2	17	0.520428519
1783	2	1	1	13	1	2	1	1	1	1	1	1	3	2	3				1	1	2	2	2	1	2	1	2	2		3	2	4	3	2	1	2	3	3	4	8	52		2	2	2	1	2	1	0.665262157
1784	2	1	2	20	2	2	1	1	1	2	1	2	1	1	1	9			1	2	2	2	1	1	1	1	1	1		1	4	2	1	2	1	1	4	1	5	8	50		1	2	9	9	1	48	0.505436777
1786	2	2	2	20	2	3	2	2	1	1	1	1	3	1	1	1			1	2	2	2	2	1	1	1	1	2		4	1	2	1	2	3	2	2		2	7	41		2	2	1	4	1	17	0.469501096
1789	2	1	1	20	2	1	1	1	2	2	2	2	1	2	1	4			2	1	2	2	2	2	1	1	1	1		1	4	1	1	2	1	1	3	1	4	7	37		2	2	1	3	2	17	0.520428519
1791	2	1	1	30	4	1	1	1	1	1	1	2	1	1	3				2	2	2	2	2	2	1	1	1	1		1	4	1	1	2	1	1	1		5	7	45		2	2	1	2	2	1	0.49635548226
1793	2	2	2	20	2	4	2	2	2	1	2	2	2	3	2				2	1	2	2	2	2	1	1	1	2		1	2	4	3	2	3	2	3	2	2	5	30		2	2	1	2	1	47	1.139454656
1795	1	1	1	3	2	3	1	1	1	2	1	3	3	3	3				2	2	2	2	2	1	1	1	1	1		2	4	1	1	2	3	1	1		5	3	60		2	2	1	2	2	1	1.213725568665
1796	2	1	1	20	4	1	9	1	1	2	1	1	1	1	2				2	2	2	2	2	2	1	1	1	1		1	5	1	3	2	3	1	1		5	7	55		1	2	1	3	2	21	0.576708111585
1797	1	2	2	15	1	4	1	2	1	1	1	3	3	9	2				2	2	2	1	2	2	2	1	1	2		4	2	9	1	2	1	2	2		1	8	78		2	2	1	3	1	17	0.545506396
1799	2	1	1	20	3	2	1	1	1	2	2	2	1	1	2				1	2	2	2	2	2	1	1	1	1		2	3	1	3	3	1	1	3	1	4	4	50		1	2	1	4	1	49	1.495024361
1800	2	1	2	3	1	3	1	1	1	1	2	1	1	1	1	1	14	2	2	2	2	2	1	1	2	1	2	8	2	2	2	4	3	2	3	1	1		4	7	29		1	2	1	4	2	4	0.703605596354999
1802	1	1	2	2	1	2	1	3	1	3	2	3	1	1	2				2	2	2	2	2	2	1	1	1	2		3	2	2	3	2	1	1	2		3	6	60		2	2	1	3	2	55	0.824367198
1803	1	1	1	3	3	4	3	1	2	3	3	2	9	1	1	14	98		2	1	1	2	2	1	2	1	1	1		2	4	5	3	2	9	1	4	2	1	5	40		1	2	3	1	1	17	1.909067098
1804	1	1	1	20	3	1	1	1	1	1	2	1	1	2	3				2	2	2	2	2	1	1	1	1	1		1	2	1	3	2	3	1	1		3	5	60		2	2	1	2	2	1	0.786235118504999
1805	1	1	1	30	4	1	1	1	1	2	1	1	1	1	2				1	2	2	2	2	1	1	1	1	1		1	4	1	3	2	1	1	1		5	7	63		2	2	1	4	1	55	0.54823392798
1808	2	1	1	30	4	1	1	1	1	2	2	1	1	2	2				2	1	2	2	2	2	2	1	1	1		1	5	2	3	1	3	1	1		3	5	55		2	2	1	4	2	8	0.754954596014999
1810	2	1	2	13	2	3	1	1	1	2	2	1	1	2	1	14			2	1	2	2	2	2	1	1	1	1		2	5	2	3	2	1	2	1		4	5	47		2	2	1	3	2	4	0.984468735405003
1814	2	1	1	13	2	1	1	1	2	2	2	1	1	2	3				2	2	2	2	2	2	2	1	1	1		2	3	1	3	2	1	1	1		4	6	57		2	2	1	4	1	8	0.681077221890001
1825	1	1	1	2	1	2	2	1	2	2	2	2	1	1	1	8			2	2	2	1	1	1	1	1	1	1		2	3	1	1	3	1	1	3	2	3	7	66		2	2	1	3	1	35	0.497088729
1826	2	1	1	20	2	2	1	1	1	2	1	1	9	9	1	18			2	2	2	2	2	1	1	1	2	1		2	4	2	3	2	3	1	3	1	3	3	55		2	2	1	2	1	55	1.148059212
1828	2	2	2	20	2	2	1	2	1	1	2	1	3	1	1	5			1	1	2	2	1	1	1	1	1	2		4	2	3	3	2	3	2	2		2	6	20		2	2	1	1	2	16	1.212802043
1842	2	1	1	30	1	1	1	1	1	1	1	1	1	1	2				2	2	2	2	2	1	1	1	1	1		1	4	2	1	2	1	1	1		5	5	89		2	2	1	9	2	49	0.754954596014999
1853	1	1	1	20	1	2	1	1	1	2	2	1	1	1	1	10			1	2	2	1	1	2	2	1	1	1		1	4	1	1	2	1	1	1		3	5	49		1	1	1	4	1	6	1.614889278015
1854	1	1	1	20	1	2	1	1	2	1	1	1	1	1	1	10			2	2	2	2	2	1	1	1	1	2		3	2	2	3	1	2	2	2		3	5	62		2	2	2	1	2	6	0.98211719
1855	2	2	2	20	2	2	1	2	1	1	3	3	3	1	1	2			2	2	2	2	2	2	1	1	1	2		4	1	2	3	2	3	2	2		2	8	62		2	2	1	4	2	6	0.53481167
1859	1	2	3	14	3	9	1	2	1	1	1	1	3	1	2				2	9	2	2	2	2	1	1	1	2		4	1	1	1	2	3	9	2		2	8	80		2	2	1	3	2	6	0.53481167
1860	2	1	1	20	2	1	1	1	1	2	2	1	3	1	1	2			1	1	2	2	1	1	2	1	1	1		2	3	2	3	2	3	1	1		4	7	30		1	1	1	3	1	4	1.18912531635
1861	2	2	1	29	2	1	2	2	1	1	2	1	3	1	1	5	11	9	2	1	2	2	2	1	1	1	1	2		4	1	5	1	2	3	2	2		3	3	22		2	2	1	4	1	8	1.859031019
1862	1	1	1	20	3	3	1	1	1	1	1	2	1	1	3				2	2	2	2	2	2	2	1	1	1		1	4	2	1	3	3	1	1		5	7	58		2	1	1	4	2	35	1.03740245826
1863	2	2	2	20	2	9	2	2	1	2	3	9	3	1	2				2	1	1	2	2	1	2	1	3	2		3	4	4	2	2	3	2	3	3	2	6	27		1	1	4	3	1	4	2.049690368
1866	2	2	2	20	1	4	2	2	2	1	2	2	3	3	1	8			2	2	2	2	2	1	1	1	1	2		4	2	4	3	2	3	2	2		4	5	36		2	2	1	2	1	4	0.883713296
1868	2	1	2	20	3	3	1	1	1	2	2	1	1	1	2				2	1	2	2	2	2	2	2				2	3	1	1	3	3	1	3	1	3	7	32		1	2	1	3	1	33	0.628926985
1870	2	1	2	20	1	1	1	1	9	3	1	9	1	1	2				2	2	2	2	1	1	2	2				3	2	1	3	2	3	2	3	3	3	8	48		2	2	1	3	2	36	0.472233334
1878	2	1	2	20	4	1	3	1	1	2	2	1	1	1	1	2			2	2	2	2	2	1	2	1	2	1		1	2	1	3	2	3	1	4	3	2	2	37		1	1	4	4	1	9	2.788897615
1880	2	2	2	20	2	3	2	2	1	1	1	2	3	3	3				2	2	2	2	2	2	1	1	1	2		4	1	2	1	2	3	2	2		3	6	69		2	2	1	2	2	23	0.748025245
1884	2	2	2	1	1	4	2	2	1	2	2	2	3	3	1	6	2		2	2	1	1	2	1	1	1	1	2		4	1	4	1	1	2	2	2		9	7	42		1	2	1	3	2	34	0.472233334
1888	2	2	2	20	2	1	1	2	1	2	2	2	1	3	2				1	2	2	2	1	1	2	1	1	2		3	2	2	2	2	3	2	2		3	3	19		2	2	1	4	1	13	1.936057454
1889	2	2	1	20	1	3	1	1	2	1	2	2	3	3	1	2			2	1	2	2	2	1	2	2				2	5	2	3	1	3	1	3	3	2	3	39		1	1	4	3	1	34	2.788897615
1895	2	2	2	4	2	2	1	2	1	1	2	1	3	1	1	2			2	2	2	2	2	1	1	2				3	2	3	2	2	3	2	3	2	3	7	24		2	2	1	2	2	25	0.697147552
1896	2	2	2	20	1	2	3	2	3	3	3	2	3	1	2				1	2	2	2	1	2	1	1	1	2		4	2	3	2	2	2	2	1		3	8	49		1	2	1	4	1	34	0.428152243665
1900	2	2	3	3	1	2	3	3	1	1	3	1	3	3	1	8	6		2	2	2	2	2	1	1	1	1	2		4	1	1	1	1	3	2	3	2	3	8	45		1	2	2	4	2	37	0.665262157
1913	2	9	1	20	1	1	1	1	1	1	2	9	1	1	2				2	2	2	1	2	1	1	2				2	3	2	1	2	3	1	3	1	3	2	18		2	2	1	2	1	37	1.936057454
1917	1	1	1	20	1	1	1	1	1	1	1	1	1	1	1	2			2	1	2	2	2	1	1	2				1	5	5	3	1	1	1	4	9	4	3	60		2	9	1	1	2	37	1.207687133
1922	2	1	1	20	2	2	1	1	1	2	2	1	1	1	1	6			2	2	2	2	2	1	1	2				1	4	2	1	2	1	1	1		5	3	19		2	2	1	4	2	51	2.15679456421501
1929	1	2	2	13	2	2	3	2	1	1	1	9	1	1	2				2	2	9	2	2	2	1	1	1	2		4	2	3	3	2	2	1	3	2	3	7	64		2	2	1	2	2	34	0.548680943
1940	2	2	2	20	3	2	1	2	1	2	2	2	3	1	3				2	2	2	2	2	1	1	1	3	8	9	5	5	3	3	2	3	2	3	9	4	4	46		1	2	1	3	1	33	1.488708791
1947	1	1	1	20	2	1	1	1	1	9	1	1	1	1	2				2	2	2	2	2	2	2	1	1	8	9	5	5	9	3	2	3	1	9	3	3	7	70		9	9	9	9	1	12	0.611591838
1953	2	1	2	2	2	2	1	1	1	2	2	1	1	3	1	3	2		2	1	2	2	1	2	1	1	1	1		2	3	2	3	1	3	1	3	3	3	8	48		2	2	1	4	2	37	0.493886052
1955	2	1	1	30	3	2	1	1	1	1	1	1	3	3	1	10			1	1	2	2	1	1	1	1	1	1		3	3	3	3	2	3	1	1		4	6	37		2	2	1	4	1	51	0.924930404804998
1959	1	1	1	20	1	1	1	1	1	1	1	1	1	1	1	8			2	2	2	2	2	2	1	1	1	1		1	5	1	1	2	3	1	2		5	3	68		2	2	1	1	2	36	1.154740286
1964	1	2	2	20	2	3	1	2	1	1	1	1	3	1	1	8	9		2	2	2	2	2	2	2	1	1	2		4	2	3	3	2	3	2	2		9	8	79		2	2	1	3	1	36	0.494988831
1965	2	1	2	20	3	3	1	1	1	2	2	1	3	3	3				1	2	2	2	2	2	2	2				2	2	1	3	3	1	2	3	3	2	6	68		2	2	1	4	1	24	0.674825955
1967	2	1	1	1	4	1	1	1	1	1	3	9	1	1	2				1	1	2	1	1	1	1	2				2	2	2	3	1	9	9	9	9	3	8	34		1	2	3	1	2	29	1.512422142
1968	1	1	1	13	3	1	1	1	1	3	1	1	1	1	1	2			1	1	2	2	2	2	1	1	1	1		1	4	1	1	2	1	1	1		3	5	43		1	2	1	3	2	37	1.025258865375
1972	2	2	2	3	1	4	2	2	9	2	2	2	3	3	3				2	2	2	2	2	2	2	2				5	1	9	9	3	9	9	4	3	9	8	49		2	2	1	2	2	9	0.472233334
1978	2	2	1	30	4	4	1	2	1	2	3	3	3	1	1	5	8		2	1	2	2	2	2	1	2				4	5	9	9	2	3	9	4	3	9	9	25		2	2	3	1	1	25	1.53934357
1986	2	2	2	20	3	2	1	2	1	2	2	2	1	1	1	10			2	2	2	2	2	1	1	1	1	2		4	2	3	2	1	2	2	3	2	2	6	61		2	2	1	1	1	13	0.705767896
1991	1	1	1	20	3	2	9	1	1	1	3	1	3	1	2				1	2	2	2	1	2	1	1	1	1		2	5	2	3	2	3	1	1		3	8	46		1	2	1	4	2	37	0.49635548226
1998	2	1	1	30	3	1	1	1	1	2	1	1	1	1	1	2			2	1	2	2	2	2	1	1	1	1		1	4	1	1	2	1	1	1		4	3	33		2	2	1	4	1	37	1.94573774127
1999	2	2	2	20	4	4	1	2	1	3	1	9	3	9	1	3	8		1	2	1	2	1	1	1	2				4	2	2	1	2	3	2	2		3	5	42		1	2	5	3	2	23	1.92017682
2001	2	2	2	20	2	3	2	2	1	1	1	2	3	3	1	10	2		1	2	9	2	2	2	1	1	1	2		4	3	4	3	3	3	2	2		1	7	27		2	2	3	4	1	34	1.238066869
2006	2	2	2	20	1	9	1	2	1	2	3	2	3	3	1	6	98		2	2	2	2	2	1	1	1	2	2		4	2	2	2	2	3	2	2		2	8	99	2	1	2	2	4	2	42	0.63609605
2012	2	1	2	8	3	1	1	1	1	1	1	1	2	2	1	14	1		1	2	2	2	2	2	1	1	1	1		2	4	1	3	2	1	1	1		3	5	46		2	2	1	4	2	36	0.980309951939999
2015	1	1	1	20	4	1	1	1	1	1	1	1	2	1	2				2	2	2	2	2	1	1	1	1	1		1	3	1	1	2	1	1	1		5	3	76		2	2	1	9	2	12	1.213725568665
2016	2	9	2	1	2	2	2	2	1	1	1	3	3	1	2				1	1	2	2	2	2	2	1	1	8	2	3	2	2	2	2	3	2	3	9	3	8	46		2	2	2	2	2	37	0.665262157
2023	2	1	1	20	2	1	1	1	2	2	2	1	1	2	2				2	2	2	2	2	2	2	1	1	1		2	4	1	3	3	1	1	4	2	3	5	47		2	2	9	3	1	42	1.039606612
2028	2	2	2	20	1	3	1	2	1	1	2	2	3	1	1	3			1	1	2	2	2	2	2	1	1	2		4	2	3	1	2	3	2	2		3	8	29		2	1	4	4	1	36	1.178210929
2033	2	2	2	20	2	4	2	2	3	3	2	3	3	3	2				2	2	2	2	2	1	1	1	4	2		4	2	4	2	2	2	9	2		2	7	28		2	2	2	3	1	36	0.84716165
2034	1	2	2	2	1	3	1	3	1	1	1	3	3	1	1	14			9	9	9	1	2	2	2	1	1	2		4	2	1	1	2	3	1	2		2	8	75		2	2	2	3	1	37	0.69731913
2037	2	1	1	30	3	2	1	1	1	2	1	1	1	2	3				2	2	2	2	2	1	1	1	1	1		1	4	1	3	2	1	1	3	3	4	5	58		2	2	1	9	1	42	0.674825955
2052	1	1	1	20	1	4	1	1	1	2	2	2	1	1	1	4	14		2	1	2	1	2	2	1	1	1	1		2	4	1	3	2	1	1	3	1	4	7	55		2	2	1	4	1	12	0.517684928
2054	1	1	1	20	1	3	2	1	1	2	2	1	1	1	3				2	2	2	2	2	2	1	1	1	1		1	4	1	1	2	1	1	1		5	6	58		2	2	1	3	1	12	0.709296735480002
2055	2	9	2	20	1	4	1	2	1	2	2	2	3	3	1	2			2	1	2	2	2	1	1	1	1	2		3	2	5	3	9	2	2	3	2	3	6	25		2	2	2	2	1	36	1.467550262
2061	2	1	1	20	2	1	1	1	1	1	2	1	1	1	2				2	1	2	2	2	2	1	1	1	1		1	4	1	3	3	1	1	4	1	4	7	31		1	2	1	3	1	12	0.657764379
2066	2	1	1	1	3	1	2	1	3	3	1	2	1	2	1	11	1		1	1	2	2	2	1	1	1	1	1		2	3	2	3	2	1	1	3	1	3	7	60		1	2	1	3	1	25	0.494988831
2070	2	1	3	20	2	2	1	1	1	2	1	1	1	1	1	1			1	2	2	2	2	1	1	1	1	1		2	2	1	1	3	1	1	3	1	5	8	51		1	2	1	4	1	12	0.445555987
2071	1	1	2	20	1	1	1	1	1	1	1	1	3	3	2				2	2	2	2	2	2	1	1	1	1		1	4	1	3	3	1	2	2		5	3	50		2	2	1	1	1	54	1.556968673
2076	2	2	2	20	1	4	1	2	1	1	1	1	1	1	1	2			2	1	1	2	1	2	1	1	1	2		4	1	4	2	2	2	2	2		3	7	44		2	2	2	9	2	37	0.665262157
2077	2	2	2	16	1	9	2	2	1	1	2	2	3	1	1	6	2		2	1	2	2	2	1	2	1	1	2		4	2	2	3	2	3	9	2		1	7	49		1	2	1	3	2	36	0.472233334
2078	2	2	2	20	1	3	1	2	1	1	2	1	3	3	1	8	18		2	2	2	2	2	1	1	1	1	2		4	1	1	1	2	2	1	2		2	7	37		2	2	2	3	2	24	0.63609605
2083	1	2	2	10	1	2	2	2	2	2	2	2	3	3	1	98			1	2	2	2	2	2	1	1	3	2		5	1	9	2	1	3	2	4	3	3	7	56		2	2	9	9	2	36	0.648210463
2085	2	2	2	20	1	4	2	2	1	1	2	2	3	1	1	3	18		1	2	2	2	2	1	2	1	1	2		4	3	3	2	2	3	2	2		1	8	33		2	2	3	4	2	25	1.372361668
2089	2	1	1	20	2	2	1	1	1	3	3	3	1	1	1	10			2	2	2	1	2	2	1	1	1	1		2	3	2	1	3	3	1	3	3	3	7	49		1	2	1	4	2	9	0.472233334
2092	1	2	2	20	4	4	2	2	1	1	2	2	3	1	3				2	2	2	2	2	1	1	1	1	2		4	1	2	1	2	3	2	2		1	6	71		2	2	1	2	1	36	0.674825955
