RESPID	PHTYPE	Q1	Q2	Q3	Q4	Q5	Q6A	Q6B	Q6C	Q6D	Q6E	Q6F	Q7	Q8	Q9	Q9A.1	Q9A.2	Q9A.3	Q10A	Q10B	Q10C	Q10D	Q10E	Q10F	Q10G	QD1	Q11	Q12	Q12B	Q13	Q14	Q15	Q16	Q17	Q18	Q19	QD2	QD2A	QD3	QD4	QD5	QD5A	QD6	QD7	QD8	QD9	QD10	QD11	FINALWGT
367	2	1	1	20	1	3	2	1	1	1	1	2	3	1	1	8			2	2	2	2	2	1	1	1	1	2		2	1	4	3	1	3	2	2		1	7	72		2	2	1	1	2	12	0.573838917
376	1	1	1	1	2	2	1	1	9	1	2	3	1	1	1	8			2	1	2	2	2	1	1	1	1	1		2	3	2	3	2	3	1	1		4	3	82		2	2	1	2	2	42	1.16051398743
383	2	2	2	20	1	3	1	2	1	1	2	1	3	1	1	10			2	2	2	2	2	1	1	1	1	2		4	2	1	3	2	3	2	2		1	3	83		2	2	1	9	1	25	1.041741199
384	1	2	2	20	2	4	3	2	1	2	2	3	3	1	1	1	6		1	2	2	2	2	1	1	1	1	2		4	2	3	1	2	3	2	2		3	6	58		2	2	1	4	2	26	0.824367198
386	2	1	1	20	1	2	1	1	1	1	2	1	1	1	1	10			2	2	2	2	2	1	1	1	1	1		1	4	2	3	2	3	1	1		2	5	70		2	2	1	1	2	9	0.751765371225
391	1	1	1	30	3	2	1	1	2	2	2	2	1	2	3				2	2	2	2	2	2	2	1	1	1		1	4	1	3	2	3	1	1		5	3	60		2	2	1	9	1	21	1.09495437621
393	2	9	2	20	2	3	1	2	1	2	2	1	2	3	2				2	2	2	2	2	2	2	1	1	8	9	4	3	2	2	3	1	2	1		4	6	30		2	1	4	3	1	9	2.05123682935499
403	2	1	3	3	4	1	3	1	2	2	2	2	1	1	9				2	1	2	2	2	2	2	1	3	1		1	4	1	3	1	3	2	9	1	5	8	45		1	2	1	2	1	37	0.445555987
406	1	1	3	20	2	2	1	1	1	2	1	1	1	1	2				2	2	2	1	1	1	1	1	1	1		2	4	3	3	2	1	1	1		4	7	76		2	2	1	4	1	55	0.54823392798
409	1	2	2	20	1	3	1	2	9	1	2	2	3	3	2				2	2	2	2	2	1	1	1	2	2		4	2	2	3	2	3	2	2		1	7	70		2	2	5	2	1	13	1.019082617
411	1	1	1	9	1	1	1	1	2	2	3	2	1	1	1	10	9		2	2	2	1	2	2	1	1	1	1		1	4	1	3	2	3	1	1		5	5	75		2	2	1	3	2	42	0.751765371225
412	1	2	2	28	2	3	2	2	1	2	2	2	3	3	1	14			2	2	2	2	2	2	2	1	1	2		4	2	1	2	2	2	2	2		2	7	56		2	2	1	3	1	12	0.517684928
416	1	9	9	20	2	4	2	3	9	1	3	2	3	3	2				2	2	2	1	2	1	1	2				5	1	5	3	2	2	2	4	3	4	2	85		2	2	2	1	2	13	1.62674881
420	1	1	1	20	2	2	1	1	1	1	3	1	1	1	1	8			2	2	2	1	1	1	2	2				2	2	2	3	2	3	1	3	3	3	3	55		2	2	1	3	2	39	1.272590759
425	2	1	1	1	2	3	2	2	2	3	2	2	2	2	2				2	2	2	2	1	2	1	2				2	4	2	1	2	3	1	4	1	4	2	22		2	2	1	2	1	19	2.040105221
427	1	2	2	16	2	3	3	2	1	1	1	3	1	1	1	10	9		2	2	2	2	2	2	1	1	1	2		4	2	1	1	2	3	1	2		1	8	73		2	2	1	4	1	42	0.494988831
429	1	1	1	20	2	2	1	1	1	2	1	2	1	3	2				2	2	2	2	2	2	1	1	1	1		2	4	2	1	2	3	1	1		4	6	43		1	2	1	2	1	1	0.924930404804998
430	1	1	1	20	1	2	1	1	1	1	1	2	1	1	3				2	2	2	2	1	2	2	1	1	1		2	2	3	2	3	1	1	1		3	7	60		2	2	1	3	2	45	0.576708111585
431	2	2	2	2	1	3	1	2	1	1	2	1	3	3	1	10	2	18	2	2	2	2	2	1	1	1	1	2		4	2	1	1	1	3	2	2		2	3	68		2	2	1	1	1	51	1.089506842
445	1	1	1	28	1	1	1	1	2	1	1	2	1	3	2				2	2	2	2	2	1	1	1	1	1		1	4	1	1	1	1	1	1		5	2	91		2	2	1	2	1	9	1.046949904995
448	2	1	1	20	2	1	1	1	1	3	1	1	1	1	2				2	2	2	2	2	2	1	2				1	2	1	1	2	1	1	1		3	8	65		2	2	1	4	1	33	0.497463775155
454	1	2	1	7	1	3	1	3	1	1	3	1	1	1	2				2	2	2	1	2	1	1	1	1	2		4	1	1	3	1	2	1	2		2	8	84		2	2	2	1	2	39	0.814498676
455	1	2	2	20	1	2	2	2	2	1	1	2	3	3	1	2			2	1	2	2	2	1	1	1	1	2		4	1	1	1	1	3	2	2		2	7	56		2	2	1	4	2	1	0.573838917
457	1	1	1	20	1	1	1	1	1	2	1	1	3	3	2				2	2	2	2	1	2	2	1	1	2		5	5	2	3	1	1	2	2		4	3	60		2	2	2	1	1	18	1.546430286
461	2	2	2	1	2	1	1	2	1	2	2	2	1	1	2				2	1	2	2	2	2	1	1	1	2		5	2	2	3	1	1	2	2		2	5	25		2	2	1	2	2	8	1.212802043
464	1	2	2	20	1	4	2	2	1	1	3	2	3	9	2				1	1	9	9	2	9	1	1	1	6	2	4	2	2	3	2	1	2	2		2	8	72		2	2	3	4	2	25	1.080099461
477	1	1	1	20	3	9	1	1	1	1	1	9	1	9	2				2	1	2	2	2	1	1	1	1	1		1	4	2	3	2	1	1	1		5	5	81		2	2	1	3	1	48	0.681077221890001
479	2	2	2	20	2	3	1	2	1	3	3	3	1	1	1	1	6	8	2	2	2	2	2	1	1	1	1	2		4	2	2	1	2	3	2	3	2	3	8	51		1	2	1	4	1	20	0.469501096
480	2	1	1	2	2	2	1	1	1	2	2	2	2	2	1	2	9		2	1	2	2	2	2	2	1	1	2		2	2	2	2	2	3	1	2		3	7	29		2	2	1	3	2	39	0.76829703
481	2	1	3	3	2	2	3	9	1	2	2	2	1	1	3				2	1	2	2	2	1	2	1	2	1		2	3	2	3	2	3	1	3	3	3	3	62		2	2	1	1	1	48	1.046160593
492	2	2	2	6	1	4	2	2	1	2	2	2	3	3	2				2	2	2	2	2	1	2	1	1	2		4	2	2	2	1	2	2	3	2	2	8	74		2	2	1	1	2	22	0.573838917
495	2	1	2	9	3	1	1	1	1	2	1	2	1	1	3				2	2	2	2	2	2	2	1	1	1		1	4	1	3	1	3	1	1		5	3	70		2	2	1	1	2	47	1.213725568665
503	1	2	2	20	2	2	1	2	3	1	1	3	3	1	1	10	9		2	2	2	2	1	2	1	1	1	2		4	1	1	1	2	3	2	2		2	8	72		2	2	1	3	2	48	0.55100862
509	1	2	2	20	1	3	2	2	2	1	2	1	3	3	1	6	14		2	2	2	1	1	1	1	1	1	2		4	2	2	3	2	3	2	2		3	7	45		2	1	4	3	2	48	0.888419279
