age_recoded,male,education_recoded,race_recoded,STATEFIP,vote_choice_recoded,PERWT,STATEFP,state,e_votes,dem,republican,dem advantage,n,rating
3,False,3,9.0,48,1,1228.0,48,texas,40.0,38,41,-3,"14,138",Competitive
2,False,3,1.0,48,0,8305.0,48,texas,40.0,38,41,-3,"14,138",Competitive
2,False,3,1.0,30,1,536.0,30,montana,4.0,37,51,-14,"1,059",Solid Rep
3,True,1,2.0,31,0,7073.0,31,nebraska,5.0,35,50,-15,"1,437",Solid Rep
2,False,3,1.0,42,0,6545.0,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
2,False,3,3.0,40,0,1072.0,40,oklahoma,7.0,35,49,-14,"2,459",Solid Rep
3,False,3,1.0,12,0,20675.0,12,florida,30.0,42,39,3,"11,094",Competitive
2,False,1,1.0,20,0,262419.0,20,kansas,6.0,34,48,-14,"1,771",Solid Rep
2,False,3,1.0,36,0,9884.0,36,new york,28.0,52,29,23,"10,864",Solid Dem
3,False,1,1.0,42,0,1896197.0,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
3,False,3,2.0,9,0,1195.0,9,connecticut,7.0,51,32,19,"2,020",Solid Dem
3,False,1,1.0,24,1,574249.0,24,maryland,10.0,56,28,28,"3,193",Solid Dem
1,False,3,9.0,53,0,524.0,53,washington,12.0,49,34,15,"4,686",Solid Dem
3,False,1,1.0,36,1,2027722.0,36,new york,28.0,52,29,23,"10,864",Solid Dem
3,False,1,1.0,42,0,1896197.0,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
2,True,3,1.0,48,0,11201.0,48,texas,40.0,38,41,-3,"14,138",Competitive
3,True,1,1.0,1,1,499159.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
3,False,3,1.0,21,0,8725.0,21,kentucky,8.0,41,45,-4,"2,508",Competitive
1,True,3,3.0,15,0,515.0,15,hawaii,4.0,50,28,22,739,Solid Dem
2,False,3,1.0,39,1,6100.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
1,False,3,1.0,38,0,138.0,38,north dakota,3.0,28,56,-28,536,Solid Rep
3,False,1,1.0,32,0,284496.0,32,nevada,6.0,42,39,3,"1,540",Competitive
3,False,1,1.0,39,0,1651029.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
3,False,1,1.0,44,1,152145.0,44,rhode island,4.0,48,27,21,602,Solid Dem
3,False,3,1.0,36,0,27986.0,36,new york,28.0,52,29,23,"10,864",Solid Dem
3,False,1,1.0,17,0,1434119.0,17,illinois,19.0,50,33,17,"5,712",Solid Dem
3,False,3,2.0,39,0,4014.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
3,False,3,2.0,28,0,4036.0,28,mississippi,6.0,38,45,-7,"1,654",Lean Rep
3,True,3,1.0,6,0,22499.0,6,california,54.0,51,30,21,"18,168",Solid Dem
2,True,1,1.0,20,1,262366.0,20,kansas,6.0,34,48,-14,"1,771",Solid Rep
2,False,3,1.0,48,1,8305.0,48,texas,40.0,38,41,-3,"14,138",Competitive
1,False,3,3.0,37,0,719.0,37,north carolina,16.0,44,39,5,"5,774",Competitive
2,False,1,1.0,54,1,207749.0,54,west virginia,4.0,40,44,-4,"1,011",Competitive
3,False,1,2.0,51,0,226653.0,51,virginia,13.0,45,38,7,"4,893",Lean Dem
3,True,1,9.0,25,1,14090.0,25,massachusetts,11.0,57,26,31,"3,805",Solid Dem
2,False,1,1.0,13,0,715317.0,13,georgia,16.0,42,40,2,"5,458",Competitive
3,False,1,1.0,12,1,2608753.0,12,florida,30.0,42,39,3,"11,094",Competitive
2,False,3,1.0,39,0,6100.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
1,False,3,1.0,42,0,3508.0,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
2,False,1,1.0,36,1,1320593.0,36,new york,28.0,52,29,23,"10,864",Solid Dem
2,True,1,1.0,17,0,985338.0,17,illinois,19.0,50,33,17,"5,712",Solid Dem
3,True,3,1.0,42,1,14033.0,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
