STATEFIP,age_recoded,race_recoded,male,education_recoded,PERWT,prop
5,1,9,True,3,125.0,4.934927434912245e-07
5,2,1,False,1,266148.0,0.0010507368535576194
5,2,1,False,3,1535.0,6.060090890072237e-06
5,2,1,True,1,263693.0,0.0010410446560754516
5,2,1,True,3,1967.0,7.765601811577908e-06
5,2,2,False,1,59161.0,0.00023356419358147468
5,2,2,False,3,746.0,2.945164693155628e-06
5,2,2,True,1,50331.0,0.00019870386618125457
5,2,2,True,3,443.0,1.7489382829328997e-06
5,2,3,False,1,7646.0,3.0185964133871223e-05
5,2,3,False,3,369.0,1.4567905787860947e-06
5,2,3,True,1,6761.0,2.669203550995335e-05
5,2,3,True,3,511.0,2.017398335392126e-06
5,2,4,False,1,24302.0,9.59428852185899e-05
5,2,4,False,3,2545.0,1.004751225748133e-05
5,2,4,True,1,26266.0,0.00010369664320432402
5,2,4,True,3,3703.0,1.4619229033184035e-05
5,2,9,False,1,11360.0,4.484862052848248e-05
5,2,9,False,3,124.0,4.895448015432947e-07
5,2,9,True,1,11144.0,4.399586506772965e-05
5,2,9,True,3,77.0,3.039915299905943e-07
5,3,1,False,1,389550.0,0.0015379207858160521
5,3,1,False,3,4501.0,1.7769686707632014e-05
5,3,1,True,1,334323.0,0.0013198877958577333
5,3,1,True,3,4601.0,1.8164480902424993e-05
5,3,2,False,1,57815.0,0.00022825026371956115
5,3,2,False,3,1703.0,6.723345137324443e-06
5,3,2,True,1,44729.0,0.00017658749538895186
5,3,2,True,3,1467.0,5.791630837613011e-06
5,3,3,False,1,4219.0,1.665636707831581e-05
5,3,3,False,3,747.0,2.949112635103558e-06
5,3,3,True,1,3370.0,1.3304564364523413e-05
5,3,3,True,3,429.0,1.6936670956618825e-06
5,3,4,False,1,9272.0,3.660531774120507e-05
5,3,4,False,3,1644.0,6.4904165623965845e-06
5,3,4,True,1,9477.0,3.741464584053068e-05
5,3,4,True,3,1797.0,7.0944516804298434e-06
5,3,9,False,1,12146.0,4.79517028995553e-05
5,3,9,False,3,315.0,1.2436017135978858e-06
5,3,9,True,1,11638.0,4.594614839000697e-05
5,3,9,True,3,145.0,5.724515824498205e-07
6,1,1,False,1,1424354.0,0.005623266905301597
6,1,1,False,3,6242.0,2.464305363897779e-05
6,1,1,True,1,1556291.0,0.0061441465220856105
6,1,1,True,3,8818.0,3.4812952096844945e-05
6,1,2,False,1,269120.0,0.0010624701370268667
6,1,2,False,3,1555.0,6.139049729030833e-06
6,1,2,True,1,295572.0,0.0011669010974335056
6,1,2,True,3,1991.0,7.860352418328225e-06
6,1,3,False,1,700848.0,0.002766907218322702
6,1,3,False,3,7421.0,2.929767719558702e-05
6,1,3,True,1,700970.0,0.0027673888672403494
6,1,3,True,3,6338.0,2.5022056065979047e-05
6,1,4,False,1,2063910.0,0.008148196865751786
6,1,4,False,3,29085.0,0.00011482589155553812
6,1,4,True,1,2181161.0,0.008611097007088502
6,1,4,True,3,43275.0,0.00017084718779666194
6,1,9,False,1,211638.0,0.0008355345379759662
6,1,9,False,3,1509.0,5.957444399426062e-06
6,1,9,True,1,216327.0,0.000854046437769809
6,1,9,True,3,1529.0,6.0364032383846584e-06
6,2,1,False,1,1772577.0,0.006998031094235554
6,2,1,False,3,11143.0,4.399191712578172e-05
6,2,1,True,1,1874797.0,0.007401589720152938
6,2,1,True,3,13730.0,5.42052429450761e-05
6,2,2,False,1,279432.0,0.0011031813143939188
6,2,2,False,3,2741.0,1.0821308879275571e-05
6,2,2,True,1,279603.0,0.0011038564124670148
6,2,2,True,3,3681.0,1.4532374310329579e-05
6,2,3,False,1,890738.0,0.003516581914815091
6,2,3,False,3,27503.0,0.00010858024739391318
6,2,3,True,1,768933.0,0.0030357028458475018
6,2,3,True,3,20057.0,7.918387164962793e-05
6,2,4,False,1,1830535.0,0.007226845913653669
6,2,4,False,3,140786.0,0.0005558149550812443
6,2,4,True,1,1872321.0,0.007391814615889864
6,2,4,True,3,154912.0,0.0006115835830377005
6,2,9,False,1,167282.0,0.0006604196249335922
6,2,9,False,3,2580.0,1.0185690225658875e-05
6,2,9,True,1,165848.0,0.0006547582761802608
6,2,9,True,3,2447.0,9.660613946584212e-06
6,3,1,False,1,2850214.0,0.011252479411176776
6,3,1,False,3,31533.0,0.00012449045344407026
6,3,1,True,1,2566807.0,0.010133605027539837
6,3,1,True,3,22499.0,8.882474588647249e-05
6,3,2,False,1,310753.0,0.001226834804145028
6,3,2,False,3,6422.0,2.535368318960515e-05
6,3,2,True,1,258441.0,0.0010203100649649245
6,3,2,True,3,3986.0,1.5736496604448166e-05
6,3,3,False,1,825874.0,0.0032605026083045723
6,3,3,False,3,93163.0,0.0003678021156949836
6,3,3,True,1,661802.0,0.002612755877023835
6,3,3,True,3,54572.0,0.00021544708798242483
6,3,4,False,1,1069541.0,0.0042224857789307825
6,3,4,False,3,245316.0,0.0009684933268983459
6,3,4,True,1,936823.0,0.0036985228194854353
6,3,4,True,3,197678.0,0.0007804212683828663
6,3,9,False,1,130368.0,0.0005146852958677117
6,3,9,False,3,4217.0,1.664847119441995e-05
6,3,9,True,1,111734.0,0.00044111934560998786
