RESPID,PHTYPE,economic_situation,registered_vote,likely_to_vote,approve_trump,approve_biden,trump_stamina,biden_stamina,optimistic,elec_enthusiasm,party,party_unaffiliated,political_leaning,education,age,age_bin,latino,race,gender,FINALWGT,vote_choice_recoded,party_recoded,age_recoded,race_recoded,male,education_recoded,region,propensity,STATEFIP,STATEFP,state,e_votes,dem,republican,dem advantage,n,rating
95,2,1,True,3.0,False,False,False,False,False,2.0,3,3.0,3,5,50,,False,1,1,0.728957846550001,1,3.0,2,1,True,3,3,0.5037137742113332,51,51,virginia,13.0,45,38,7,"4,893",Lean Dem
108,2,2,True,1.0,False,False,False,True,False,2.0,2,,3,5,65,,False,1,2,1.08612637014,0,2.0,3,1,False,3,1,0.3991029868932533,42,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
110,2,2,True,2.0,False,False,False,False,False,3.0,4,1.0,2,3,42,,False,1,2,1.21506715415,1,1.0,2,1,False,1,1,0.5495360081520232,36,36,new york,28.0,52,29,23,"10,864",Solid Dem
114,2,2,True,1.0,False,True,False,True,True,1.0,3,2.0,4,8,68,,False,1,1,0.52507916545,0,3.0,3,1,True,3,1,0.4972405472879573,42,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
119,2,2,True,2.0,False,False,True,False,True,3.0,4,1.0,3,3,19,,False,2,1,1.07949100495,0,1.0,1,2,True,1,3,0.1763639809102808,12,12,florida,30.0,42,39,3,"11,094",Competitive
129,2,2,True,1.0,False,True,False,True,False,3.0,2,,1,8,68,,False,1,1,0.55936766782,0,2.0,3,1,True,3,3,0.4972405472879573,54,54,west virginia,4.0,40,44,-4,"1,011",Competitive
141,2,2,True,1.0,False,False,False,True,True,2.0,2,,1,8,70,,False,1,2,0.622354600919999,0,2.0,3,1,False,3,3,0.3991029868932533,12,12,florida,30.0,42,39,3,"11,094",Competitive
144,2,1,True,1.0,False,True,False,True,True,1.0,2,,3,2,41,,False,1,2,1.29441296648,0,2.0,2,1,False,1,3,0.5495360081520232,13,13,georgia,16.0,42,40,2,"5,458",Competitive
157,2,2,True,1.0,False,True,False,True,True,1.0,1,,3,6,84,,False,1,1,0.896859544259999,0,1.0,3,1,True,3,3,0.4972405472879573,12,12,florida,30.0,42,39,3,"11,094",Competitive
171,2,2,True,1.0,False,False,True,False,False,3.0,1,,4,7,64,,False,1,1,0.56376920922,1,1.0,3,1,True,3,1,0.4972405472879573,42,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
187,1,2,True,1.0,False,False,False,True,False,1.0,2,,2,3,74,,False,1,1,1.34917904414,0,2.0,3,1,True,1,1,0.6385638532385712,42,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
194,1,2,True,1.0,False,False,True,False,True,3.0,1,,4,5,71,,False,1,2,0.9978493485,1,1.0,3,1,False,3,3,0.3991029868932533,21,21,kentucky,8.0,41,45,-4,"2,508",Competitive
201,2,3,True,1.0,False,False,True,True,True,1.0,4,1.0,4,6,27,,False,1,1,1.3542298925,1,1.0,1,1,True,3,3,0.476053581913655,37,37,north carolina,16.0,44,39,5,"5,774",Competitive
203,2,2,True,1.0,False,False,False,True,True,3.0,2,,3,3,61,,False,1,2,1.43317902928,0,2.0,3,1,False,1,3,0.5432509155243974,13,13,georgia,16.0,42,40,2,"5,458",Competitive
220,2,2,True,1.0,True,False,True,False,True,1.0,1,,4,3,65,,False,1,2,1.44445640052,1,1.0,3,1,False,1,1,0.5432509155243974,34,34,new jersey,14.0,48,33,15,"4,455",Solid Dem
231,1,2,True,1.0,True,False,True,False,True,1.0,3,1.0,4,7,99,3.0,False,1,2,0.55963313735,1,3.0,3,1,False,3,2,0.3991029868932533,39,39,ohio,17.0,41,42,-1,"6,319",Competitive
