vote_choice_recoded,age_recoded,education_recoded,race_recoded,male,state
1,2,3,1,False,1
1,1,1,1,True,54
0,3,3,1,False,55
0,2,3,1,True,17
0,2,3,1,False,42
0,2,3,9,True,26
0,2,3,1,True,19
0,2,3,1,False,55
0,1,1,4,True,6
0,2,3,1,False,17
0,3,3,9,False,18
0,2,1,1,False,34
1,2,3,1,True,47
1,2,3,1,True,39
0,2,3,1,False,51
0,2,3,1,False,39
0,2,1,1,False,27
0,2,3,1,False,39
0,2,3,1,False,27
0,1,1,1,True,26
1,1,1,1,False,39
0,1,3,1,False,12
1,2,1,9,True,41
1,2,3,1,False,48
0,1,3,1,False,17
0,2,3,2,False,55
1,2,3,1,True,26
0,1,3,1,True,18
0,2,3,2,False,17
0,2,3,1,False,55
1,2,1,1,False,18
1,2,3,1,False,20
1,3,1,1,False,18
0,1,3,1,False,29
1,1,3,4,True,20
0,2,3,1,True,32
0,2,1,1,False,41
0,2,3,1,True,6
0,2,3,1,True,6
1,3,1,2,False,12
1,2,3,1,False,36
0,3,3,1,False,36
1,2,3,1,False,12
1,3,1,1,True,9
0,3,3,1,True,24
1,2,1,1,True,42
0,1,3,1,False,36
0,2,3,2,True,17
1,2,3,1,True,47
0,1,3,4,True,12
1,3,3,3,False,28
1,2,3,1,False,1
1,3,3,1,False,17
1,1,3,1,False,47
0,1,3,2,False,36
0,3,3,1,False,42
0,3,3,2,False,1
0,3,1,1,False,40
1,3,1,1,False,18
0,3,3,1,False,36
0,3,3,2,False,51
0,3,3,1,True,36
1,3,3,1,False,18
1,3,3,9,True,12
1,3,3,1,False,45
0,3,3,2,False,48
1,1,3,1,False,39
0,3,3,1,False,39
1,3,3,1,True,12
