RESPID,PHTYPE,top_household_concern,registered_vote,likely_to_vote,vote_choice,vote_choice_undecided,approve_trump,approve_biden,optimistic,elec_enthusiasm,economic_situation,focused_imp_issues,party,party_unaffiliated,political_leaning,education,age,age_bin,latino,race,gender,state,FINALWGT,vote_choice_recoded,party_recoded,age_recoded,race_recoded,male,education_recoded,region
2686,1,20.0,True,1.0,2.0,,False,False,True,1,2,False,2,,1,7,54,,False,1,2,24.0,0.472233334,2.0,2.0,2.0,1,False,2,3.0
2689,2,1.0,False,,,,False,False,False,3,1,False,3,2.0,1,3,20,,False,1,1,4.0,1.859031019,,3.0,1.0,1,True,1,4.0
2690,2,20.0,True,1.0,2.0,,False,True,True,3,2,False,2,,1,8,53,,False,2,2,47.0,0.665262157,2.0,2.0,2.0,2,False,2,3.0
2718,1,15.0,True,1.0,2.0,,False,True,True,2,2,True,2,,3,5,42,,False,1,1,27.0,0.969789148,2.0,2.0,2.0,1,True,2,2.0
2721,1,20.0,True,1.0,1.0,,False,False,True,3,2,True,4,3.0,3,6,21,,False,1,1,5.0,1.139454656,1.0,3.0,1.0,1,True,2,3.0
2758,1,20.0,True,1.0,2.0,,False,False,False,2,2,False,4,2.0,1,8,20,,False,9,1,45.0,0.777081395,2.0,2.0,1.0,9,True,2,3.0
2780,2,20.0,True,1.0,2.0,,False,False,False,1,2,False,2,,1,7,30,,False,1,2,37.0,0.729112977,2.0,2.0,1.0,1,False,2,3.0
2795,2,3.0,True,1.0,8.0,2.0,False,False,False,2,1,False,3,3.0,3,3,29,,False,1,1,29.0,2.040105221,2.0,3.0,1.0,1,True,1,2.0
2823,1,20.0,True,3.0,2.0,,False,True,True,2,2,False,2,,4,9,32,,False,9,1,37.0,0.966179839,2.0,2.0,1.0,9,True,3,3.0
2834,2,20.0,True,1.0,2.0,,False,False,False,3,2,True,3,2.0,1,6,30,,False,1,2,12.0,1.263052854,2.0,3.0,1.0,1,False,2,3.0
2865,2,1.0,True,1.0,2.0,,False,True,True,3,1,False,2,,4,7,20,,False,1,2,37.0,0.729112977,2.0,2.0,1.0,1,False,2,3.0
2883,1,1.0,True,2.0,1.0,,False,False,True,3,1,True,3,1.0,3,5,46,,False,1,2,1.0,1.020158075,1.0,3.0,2.0,1,False,2,3.0
2908,1,20.0,True,1.0,6.0,1.0,False,False,False,3,2,True,4,1.0,3,5,30,,False,1,2,53.0,1.177151612,1.0,1.0,1.0,1,False,2,4.0
2920,1,1.0,False,,,,False,False,True,3,1,False,2,,1,2,18,,False,1,2,48.0,2.060682645,,2.0,1.0,1,False,1,3.0
2931,1,28.0,True,1.0,1.0,,False,False,True,3,2,False,3,1.0,2,5,45,,False,1,1,5.0,0.920328761,1.0,3.0,2.0,1,True,2,3.0
2932,2,9.0,True,1.0,1.0,,True,False,True,3,2,False,3,1.0,3,3,45,,False,1,2,39.0,1.818606244,1.0,3.0,2.0,1,False,1,2.0
2936,1,20.0,True,2.0,8.0,2.0,False,False,False,2,2,False,1,,3,8,44,,False,1,2,27.0,0.523030661595,2.0,1.0,2.0,1,False,2,2.0
2965,2,1.0,True,1.0,2.0,,False,False,True,3,9,False,3,3.0,1,4,45,,False,1,2,51.0,1.725855186,2.0,3.0,2.0,1,False,2,3.0
2980,1,1.0,True,1.0,1.0,,True,False,True,1,2,False,3,1.0,3,6,54,,False,1,2,12.0,1.020158075,1.0,3.0,2.0,1,False,2,3.0
2981,1,20.0,True,1.0,2.0,,False,False,True,3,3,False,2,,2,3,51,,False,5,2,48.0,3.262245341,2.0,2.0,2.0,9,False,1,3.0
2982,1,20.0,True,1.0,1.0,,True,False,True,3,3,True,1,,2,6,40,,False,1,1,36.0,0.884380044720001,1.0,1.0,2.0,1,True,2,1.0
3009,2,20.0,True,1.0,1.0,,True,False,True,3,2,True,1,,2,6,37,,True,1,2,6.0,1.79005851676501,1.0,1.0,2.0,4,False,2,4.0
3027,2,9.0,True,1.0,1.0,,False,False,True,2,2,True,2,,3,7,50,,False,1,2,39.0,0.520428519,1.0,2.0,2.0,1,False,2,2.0
3036,2,20.0,True,1.0,1.0,,True,False,True,3,2,True,1,,3,5,30,,False,1,2,30.0,1.218866053215,1.0,1.0,1.0,1,False,2,4.0
3044,2,20.0,True,1.0,2.0,,False,True,True,3,2,False,3,2.0,3,7,47,,False,1,2,51.0,0.493886052,2.0,3.0,2.0,1,False,2,3.0
3072,1,13.0,True,1.0,1.0,,True,False,True,1,3,True,3,3.0,2,8,55,,False,1,2,29.0,0.604678218,1.0,3.0,3.0,1,False,2,2.0
3073,1,20.0,True,1.0,2.0,,False,False,True,3,2,True,1,,3,7,62,,False,1,1,4.0,0.499574172645,2.0,1.0,3.0,1,True,2,4.0
3075,2,13.0,True,1.0,2.0,,False,False,False,3,2,True,1,,2,7,37,,False,1,1,6.0,0.41732963283,2.0,1.0,2.0,1,True,2,4.0
3078,1,20.0,True,1.0,1.0,,False,False,True,1,2,True,4,1.0,2,6,99,2.0,False,1,1,48.0,0.883713296,1.0,1.0,3.0,1,True,2,3.0
3081,2,20.0,True,1.0,1.0,,True,False,True,3,3,True,1,,3,8,33,,False,1,2,10.0,0.700633289760002,1.0,1.0,1.0,1,False,2,3.0
3082,1,20.0,True,1.0,2.0,,False,False,False,3,2,True,3,2.0,1,8,52,,False,1,1,34.0,0.426022133,2.0,3.0,2.0,1,True,2,1.0
3085,2,20.0,True,1.0,1.0,,True,False,True,1,2,True,1,,3,6,31,,False,1,1,47.0,1.14515192928,1.0,1.0,1.0,1,True,2,3.0
3090,2,1.0,True,1.0,2.0,,False,False,False,1,1,False,3,2.0,3,7,29,,True,9,1,6.0,1.148428722,2.0,3.0,1.0,4,True,2,4.0
3093,1,20.0,True,1.0,1.0,,False,False,False,3,2,False,3,3.0,3,5,49,,False,9,1,21.0,1.087274379,1.0,3.0,2.0,9,True,2,3.0
3094,2,2.0,True,1.0,2.0,,False,False,False,3,1,False,3,2.0,1,7,36,,False,1,1,53.0,0.415253366,2.0,3.0,2.0,1,True,2,4.0
3095,2,20.0,True,1.0,2.0,,False,False,True,2,2,False,2,,1,8,44,,False,1,2,27.0,0.520428519,2.0,2.0,2.0,1,False,2,2.0
3096,1,20.0,True,1.0,1.0,,True,False,True,3,2,True,1,,3,3,50,,False,1,2,5.0,1.73448446193001,1.0,1.0,2.0,1,False,1,3.0
3098,2,20.0,True,1.0,2.0,,False,False,False,3,2,False,2,,3,6,21,,False,5,2,36.0,2.377361777,2.0,2.0,1.0,9,False,2,1.0
3101,1,3.0,True,2.0,1.0,,False,False,True,3,1,True,3,1.0,2,5,55,,False,1,1,17.0,0.743697335,1.0,3.0,3.0,1,True,2,2.0
3103,1,2.0,True,1.0,2.0,,False,False,True,3,2,False,1,,2,5,58,,False,1,2,39.0,0.828489033990003,2.0,1.0,3.0,1,False,2,2.0
3105,2,1.0,True,1.0,2.0,,False,False,False,3,1,False,2,,3,8,46,,False,1,1,6.0,0.415253366,2.0,2.0,2.0,1,True,2,4.0
3111,1,20.0,True,1.0,2.0,,False,True,True,1,2,False,2,,3,3,29,,False,1,1,36.0,1.851177741,2.0,2.0,1.0,1,True,1,1.0
3117,1,13.0,True,1.0,2.0,,False,False,True,1,1,False,2,,3,5,51,,False,2,1,12.0,1.239678453,2.0,2.0,2.0,2,True,2,3.0
3124,2,12.0,True,1.0,2.0,,False,False,False,2,1,False,3,2.0,3,8,37,,False,1,2,31.0,0.520428519,2.0,3.0,2.0,1,False,2,2.0
3125,2,1.0,False,,,,False,False,True,3,1,False,3,2.0,1,3,18,,False,1,2,37.0,2.146064243,,3.0,1.0,1,False,1,3.0
3126,2,20.0,True,1.0,1.0,,False,False,False,3,2,False,3,2.0,1,6,21,,False,1,1,21.0,1.139454656,1.0,3.0,1.0,1,True,2,3.0
3128,1,20.0,True,2.0,1.0,,False,False,False,3,3,True,3,9.0,3,2,18,,True,4,1,6.0,3.380274243,1.0,3.0,1.0,4,True,1,4.0
3131,2,20.0,False,,,,False,False,True,3,2,True,3,1.0,2,8,35,,False,1,1,29.0,0.469501096,,3.0,2.0,1,True,2,2.0
3133,1,30.0,True,1.0,1.0,,True,False,True,3,2,True,9,3.0,4,3,53,,False,1,2,55.0,1.818606244,1.0,3.0,2.0,1,False,1,2.0
3134,2,20.0,True,1.0,2.0,,False,False,True,3,1,True,4,1.0,3,7,25,,False,1,2,30.0,0.700105071,2.0,1.0,1.0,1,False,2,4.0
3136,2,20.0,False,,,,False,False,False,3,2,False,2,,3,5,63,,False,2,2,13.0,1.053786026,,2.0,3.0,2,False,2,3.0
3138,1,20.0,True,1.0,2.0,,False,True,True,1,2,False,2,,1,3,64,,True,1,2,32.0,2.172429303,2.0,2.0,3.0,4,False,1,4.0
3140,1,20.0,False,,,,True,False,True,3,2,False,3,1.0,3,6,58,,False,1,2,45.0,0.782323501,,3.0,3.0,1,False,2,3.0
3141,2,20.0,True,1.0,2.0,,False,True,True,1,2,False,3,2.0,3,8,51,,False,2,1,51.0,0.600161791,2.0,3.0,2.0,2,True,2,3.0
3144,1,2.0,True,1.0,2.0,,False,True,True,1,2,False,2,,1,6,46,,False,1,2,5.0,1.020158075,2.0,2.0,2.0,1,False,2,3.0
3145,2,30.0,False,,,,False,True,True,3,1,False,3,3.0,1,3,48,,False,9,2,36.0,1.949532101,,3.0,2.0,9,False,1,1.0
3150,2,20.0,True,1.0,2.0,,False,True,True,1,2,False,2,,3,5,42,,False,1,1,37.0,0.920328761,2.0,2.0,2.0,1,True,2,3.0
