RESPID,PHTYPE,economic_situation,registered_vote,likely_to_vote,approve_trump,approve_biden,trump_stamina,biden_stamina,optimistic,elec_enthusiasm,party,party_unaffiliated,political_leaning,education,age,age_bin,latino,race,gender,state,FINALWGT,STATEFIP,vote_choice_recoded,party_recoded,age_recoded,race_recoded,male,education_recoded,region,propensity,mrp_subgroup_estimate_se,prop_small,propensity_fix
8554,2,2,True,1.0,False,False,True,True,False,3.0,2,,1,5,19,,False,1,1,36,1.58264803186,36,0,2.0,1,1,True,3,1,0.3571927036372279,0.0503518404480937,0.4589593559582667,0.3571927036372279
8623,2,3,True,1.0,False,True,False,True,True,2.0,2,,3,8,50,,False,2,2,6,0.599418797919999,6,0,2.0,2,2,False,3,4,0.0509112995575509,0.0322803864060858,0.0790572171433126,0.0509112995575509
8629,1,2,True,2.0,False,False,True,True,False,1.0,2,,1,6,25,,False,2,1,36,1.65049568506,36,0,2.0,1,2,True,3,1,0.0674495994918429,0.04167206136608,0.0983132717059409,0.0674495994918429
8635,2,1,True,1.0,False,False,False,False,False,2.0,2,,3,8,62,,False,1,2,36,0.651849881080001,36,0,2.0,3,1,False,3,1,0.2960016146071869,0.0360106900661803,0.4017733184599421,0.2960016146071869
8638,2,1,True,1.0,False,False,False,True,False,3.0,3,2.0,1,3,24,,False,1,2,11,1.2062552249,11,0,3.0,1,1,False,1,3,0.2029074986036907,0.0696848596049658,0.5334219750154965,0.2029074986036907
8673,2,3,True,1.0,False,False,True,False,True,3.0,4,1.0,4,8,22,,False,1,1,48,0.760022668899998,48,1,1.0,1,1,True,3,3,0.6062984999300651,0.0503518404480937,0.4589593559582667,0.6062984999300651
8695,2,3,True,1.0,True,False,True,False,True,1.0,4,1.0,2,5,28,,True,1,2,48,2.47279138595001,48,1,1.0,1,4,False,3,3,0.4470287775558877,0.0738819762987432,0.3176068230824714,0.4470287775558877
8762,2,2,True,1.0,True,False,True,False,True,1.0,1,,2,2,50,,False,1,2,48,1.5097037289,48,1,1.0,2,1,False,1,3,0.6567628424876683,0.0632724964544724,0.5607102200935249,0.6567628424876683
8769,2,2,True,1.0,True,False,True,False,True,1.0,1,,3,3,99,3.0,False,1,1,12,1.23952190814,12,1,1.0,3,1,True,1,3,0.6583903227313598,0.0534926909646688,0.6383140764053872,0.6583903227313598
8837,2,1,True,1.0,False,True,False,True,True,3.0,2,,1,2,58,,False,2,1,17,1.3478381028,17,0,2.0,3,2,True,1,2,0.1216005123308868,0.0757416998767623,0.1962305673010076,0.1216005123308868
8859,1,1,True,1.0,False,False,False,True,False,1.0,2,,3,7,62,,False,1,2,21,0.622354600919999,21,0,2.0,3,1,False,3,3,0.4485138039294085,0.0360106900661803,0.4017733184599421,0.4485138039294085
8867,1,2,True,1.0,False,True,True,True,True,1.0,2,,3,8,58,,False,2,2,17,0.651202011199998,17,0,2.0,3,2,False,3,2,0.0562361778414933,0.0314726948325369,0.0768634545783466,0.0562361778414933
8928,1,2,True,1.0,False,False,True,False,False,3.0,1,,3,8,61,,False,1,2,1,0.59886952164,1,1,1.0,3,1,False,3,3,0.582295045703169,0.0360106900661803,0.4017733184599421,0.582295045703169
8937,2,1,True,1.0,False,True,False,True,False,2.0,2,,3,7,60,,False,2,2,13,0.649034757460002,13,0,2.0,3,2,False,3,3,0.0991145743786758,0.0314726948325369,0.0768634545783466,0.0991145743786758
8958,1,3,True,1.0,True,False,True,False,True,2.0,1,,1,6,62,,False,1,2,39,1.0011813621,39,1,1.0,3,1,False,3,2,0.4705071015001206,0.0360106900661803,0.4017733184599421,0.4705071015001206
8985,2,2,True,3.0,False,False,False,True,False,3.0,2,,1,8,49,,False,1,2,40,0.701544136460002,40,0,2.0,2,1,False,3,3,0.5713439922997561,0.039194595384413,0.4092546370180767,0.5713439922997561
9144,1,1,True,1.0,True,False,True,False,True,2.0,1,,4,6,52,,False,1,2,1,0.870802217279999,1,1,1.0,2,1,False,3,3,0.5831583536786364,0.039194595384413,0.4092546370180767,0.5831583536786364
9209,2,1,True,4.0,False,False,True,False,False,3.0,3,1.0,3,2,32,,False,1,1,54,1.03511589315,54,1,3.0,1,1,True,1,3,0.6680388239228725,0.0649377019640003,0.6232752821548939,0.6680388239228725
9290,1,2,True,1.0,False,False,False,False,False,3.0,4,3.0,3,7,59,,False,1,2,55,0.55963313735,55,0,3.0,3,1,False,3,2,0.4350212159184688,0.0360106900661803,0.4017733184599421,0.4350212159184688
9331,2,3,True,1.0,False,False,True,True,True,1.0,3,9.0,3,7,38,,False,1,1,17,0.4677948181,17,0,3.0,2,1,True,3,2,0.3935542786204547,0.040626894432691,0.5017550319222035,0.3935542786204547
9379,2,2,True,1.0,False,False,False,True,False,3.0,3,2.0,1,7,42,,False,1,2,42,0.54332271085,42,0,3.0,2,1,False,3,1,0.3417688421057913,0.039194595384413,0.4092546370180767,0.3417688421057913
9384,2,2,True,1.0,False,False,False,True,True,3.0,4,2.0,3,5,40,,False,9,1,26,0.808478853400001,26,0,2.0,2,9,True,3,2,0.5934303198755461,0.1196344414230905,0.5615960989441215,0.5934303198755461
9530,2,2,True,1.0,False,False,True,False,True,3.0,3,2.0,3,5,46,,False,1,1,19,0.731391979299999,19,0,3.0,2,1,True,3,2,0.5218968314378791,0.040626894432691,0.5017550319222035,0.5218968314378791
9641,2,2,True,1.0,False,False,False,True,False,3.0,2,,1,8,41,,False,1,2,55,0.58073528032,55,0,2.0,2,1,False,3,2,0.4358795725851693,0.039194595384413,0.4092546370180767,0.4358795725851693
9731,2,1,True,1.0,False,False,False,False,False,2.0,3,2.0,3,3,23,,True,4,1,6,1.3918384317,6,0,3.0,1,4,True,1,4,0.3985163084273875,0.1231106881384675,0.4595839232690282,0.3985163084273875
9748,1,2,True,1.0,False,False,True,False,False,3.0,3,3.0,3,6,45,,False,1,2,17,0.813749505650003,17,0,3.0,2,1,False,3,2,0.3150445017891972,0.039194595384413,0.4092546370180767,0.3150445017891972
9773,1,2,True,1.0,False,False,False,True,False,2.0,4,9.0,2,9,99,1.0,False,9,2,18,0.966935392550001,18,0,3.0,3,9,False,3,2,0.5407192407109405,0.1224128422147893,0.4791533282102547,0.5407192407109405
9791,2,2,True,1.0,False,False,False,True,True,1.0,2,,3,3,44,,False,1,2,34,1.35575914042,34,0,2.0,2,1,False,1,1,0.4625659381046577,0.0632724964544724,0.5607102200935249,0.4625659381046577
9900,1,3,True,1.0,False,False,True,True,True,3.0,1,,4,8,42,,False,1,1,47,0.50059233396,47,1,1.0,2,1,True,3,3,0.6682583551937024,0.040626894432691,0.5017550319222035,0.6682583551937024
9955,2,3,True,1.0,True,False,True,False,True,1.0,1,,2,5,53,,False,1,1,39,0.785284019879998,39,1,1.0,2,1,True,3,2,0.5570800305522267,0.040626894432691,0.5017550319222035,0.5570800305522267
9966,2,2,True,1.0,False,True,False,True,True,1.0,2,,1,8,48,,False,1,2,51,0.578802546279999,51,0,2.0,2,1,False,3,3,0.4503902352147687,0.039194595384413,0.4092546370180767,0.4503902352147687
10079,1,1,True,1.0,False,False,False,True,False,3.0,2,,1,5,51,,False,1,2,39,0.907973132619999,39,0,2.0,2,1,False,3,2,0.4713294352555879,0.039194595384413,0.4092546370180767,0.4713294352555879
10192,1,2,True,3.0,False,False,False,False,False,2.0,3,1.0,4,3,36,,False,1,2,27,1.16396084965,27,0,3.0,2,1,False,1,2,0.4668952536955755,0.0632724964544724,0.5607102200935249,0.4668952536955755
10238,2,2,True,2.0,False,False,False,True,False,3.0,2,,1,8,45,,False,1,2,39,0.58073528032,39,0,2.0,2,1,False,3,2,0.4713294352555879,0.039194595384413,0.4092546370180767,0.4713294352555879
10297,1,3,True,3.0,False,False,False,False,False,2.0,3,1.0,2,7,49,,False,1,2,27,0.5204702984,27,0,3.0,2,1,False,3,2,0.3487878529490578,0.039194595384413,0.4092546370180767,0.3487878529490578
