"","STATEFIP","male","race_recoded","education_recoded","age_recoded","mean","lower","upper"
"1501","29","False","2","1","2",0.00071574973922694,0.000650573780982993,0.000781624926229383
"1502","29","False","2","3","2",8.51216103209827e-06,6.52079386594666e-06,1.03291989442689e-05
"1503","29","True","2","1","2",0.000577988728396668,0.000523479446126147,0.000632829802650435
"1504","29","True","2","3","2",9.43353543496997e-06,7.14724253028347e-06,1.15531352382657e-05
"1505","29","False","3","1","2",0.000142645926877786,0.000121871529090854,0.000163792569072917
"1506","29","False","3","3","2",4.74734757857444e-06,3.49779275082509e-06,5.96841155543153e-06
"1507","29","True","3","1","2",0.00012313279033911,0.000104888482402817,0.000141980060462508
"1508","29","True","3","3","2",4.91384567148171e-06,3.55871130650852e-06,6.20336326377229e-06
"1509","29","False","4","1","2",0.000169473548896877,0.000149003261620608,0.000189769300588069
"1510","29","False","4","3","2",8.26120980050758e-06,5.85650818006811e-06,1.053264434229e-05
"1511","29","True","4","1","2",0.000174512740945077,0.000152447047821115,0.000195944427117261
"1512","29","True","4","3","2",1.05902474019984e-05,7.36710968418862e-06,1.3576992456698e-05
"1513","29","False","9","1","2",0.000132762990577914,0.000116146137484098,0.000150348065385623
"1514","29","False","9","3","2",2.52370524697099e-06,1.92494818066953e-06,3.10461683118825e-06
"1515","29","True","9","1","2",0.000130811047750047,0.000114256042319304,0.000148210722574014
"1516","29","True","9","3","2",1.10284969776799e-06,8.29370956487271e-07,1.36896064878202e-06
"1517","29","False","1","1","3",0.00507955156348611,0.00466190956059383,0.0055033809136576
"1518","29","False","1","3","3",3.85478885128376e-05,2.71293025464658e-05,4.91999465976749e-05
"1519","29","True","1","1","3",0.00421993772591624,0.00385014293002569,0.00459758405219894
"1520","29","True","1","3","3",4.0016574234298e-05,2.75805639828314e-05,5.16786806785903e-05
"1521","29","False","2","1","3",0.000741423875066186,0.000677145890659432,0.000803577036688277
"1522","29","False","2","3","3",1.68676822145191e-05,1.28973116132473e-05,2.04084295414363e-05
"1523","29","True","2","1","3",0.000526390147575207,0.000477913762271966,0.000574169026431762
"1524","29","True","2","3","3",1.06420647849597e-05,8.09620330775272e-06,1.29921756200299e-05
"1525","29","False","3","1","3",9.20274832291611e-05,7.91305704392787e-05,0.000105511877315525
"1526","29","False","3","3","3",7.26449676398725e-06,5.36517287492937e-06,9.09984711660315e-06
"1527","29","True","3","1","3",6.59539863125222e-05,5.65112251212788e-05,7.58400516991149e-05
"1528","29","True","3","3","3",3.34465806145438e-06,2.42917512237436e-06,4.21201999075405e-06
"1529","29","False","4","1","3",0.00010124952839826,8.94137216284836e-05,0.000112731069961134
"1530","29","False","4","3","3",8.96064793879956e-06,6.40365706443066e-06,1.13462943822489e-05
"1531","29","True","4","1","3",7.88233449371841e-05,6.93146261619202e-05,8.821995364621e-05
"1532","29","True","4","3","3",6.62464149930959e-06,4.63389053376217e-06,8.49178815289077e-06
"1533","29","False","9","1","3",0.000133281968481125,0.000117211517123928,0.000149859311554404
"1534","29","False","9","3","3",1.31926361098787e-06,1.00942450551546e-06,1.61776069592731e-06
"1535","29","True","9","1","3",0.000107266153197176,9.40564550275774e-05,0.000121171006467883
"1536","29","True","9","3","3",1.10053427791644e-06,8.31789385397879e-07,1.36226178933061e-06
"1537","30","False","1","1","1",0.00055263188116309,0.00049738176923694,0.000606729169337549
"1538","30","False","1","3","1",9.74688130739291e-07,7.1260562618384e-07,1.22117923813468e-06
"1539","30","True","1","1","1",0.000583480226080618,0.000524811169133539,0.000642494806985525
"1540","30","True","1","3","1",3.50154063363361e-06,2.53094435305519e-06,4.45432628370923e-06
"1541","30","False","2","1","1",4.93223786351283e-06,4.44528684804693e-06,5.39281508510012e-06
"1542","30","True","2","1","1",7.08094687422074e-06,6.3771201152281e-06,7.76636157142605e-06
"1543","30","False","3","1","1",1.18635076968136e-05,1.02676965204517e-05,1.34706456993295e-05
"1544","30","False","3","3","1",3.23892687690361e-08,2.4462665779027e-08,4.01462430095957e-08
"1545","30","True","3","1","1",7.66274439695295e-06,6.58441456354041e-06,8.73112737513539e-06
"1546","30","True","3","3","1",4.23060255443683e-07,3.15100394233746e-07,5.27249300016977e-07
"1547","30","False","4","1","1",3.27808831940098e-05,2.90757145575662e-05,3.65012254294259e-05
"1548","30","False","4","3","1",3.12793690680377e-07,2.30298961798395e-07,3.91156046003753e-07
"1549","30","True","4","1","1",3.2394946910175e-05,2.86469561996065e-05,3.6015534933607e-05
"1550","30","True","4","3","1",5.47686359846968e-08,4.00471108305564e-08,6.8895668399105e-08
"1551","30","False","9","1","1",8.21943828940824e-05,7.23930229474599e-05,9.2355036851804e-05
"1552","30","False","9","3","1",9.08009882361768e-08,7.11801271431536e-08,1.10242316396746e-07
"1553","30","True","9","1","1",7.34752726508597e-05,6.45607128552369e-05,8.26259324368797e-05
"1554","30","True","9","3","1",1.35860043705972e-07,1.0560079680348e-07,1.65477558747444e-07
"1555","30","False","1","1","2",0.000600739743929801,0.000541790997850227,0.00065828320193651
"1556","30","False","1","3","2",2.44605428312941e-06,1.73640267721353e-06,3.11904343046907e-06
"1557","30","True","1","1","2",0.000595975704483954,0.000538243450979796,0.000654908548005417
"1558","30","True","1","3","2",2.82664529448615e-06,1.94183721634041e-06,3.6510867522946e-06
"1559","30","False","2","1","2",1.03914334818428e-06,9.43027281971614e-07,1.13412071659536e-06
"1560","30","True","2","1","2",4.91520615127444e-06,4.43233489722605e-06,5.38302762784684e-06
"1561","30","False","3","1","2",1.21484041335862e-05,1.03767794635262e-05,1.39183501664383e-05
"1562","30","False","3","3","2",2.0348568357647e-07,1.49302524506222e-07,2.55953564672751e-07
"1563","30","True","3","1","2",5.14518925655643e-06,4.37810104485872e-06,5.93594034601329e-06
"1564","30","True","3","3","2",1.65838964223957e-06,1.2074053865219e-06,2.08969002986409e-06
"1565","30","False","4","1","2",2.84762158979418e-05,2.52760913799333e-05,3.18167602436352e-05
"1566","30","False","4","3","2",3.01214307627299e-07,2.15328132975047e-07,3.81684662585703e-07
"1567","30","True","4","1","2",2.77890364337342e-05,2.4506213102372e-05,3.1090007840858e-05
"1568","30","True","4","3","2",3.01692917037916e-07,2.11061030942166e-07,3.86586838046387e-07
"1569","30","False","9","1","2",6.90258945637173e-05,6.07128376908985e-05,7.79194402015725e-05
"1570","30","False","9","3","2",1.53876498021347e-07,1.18037948996444e-07,1.89469700109484e-07
"1571","30","True","9","1","2",6.70740879612643e-05,5.8862086394128e-05,7.56681227339325e-05
"1572","30","True","9","3","2",7.43095688369137e-08,5.63041701269544e-08,9.20535415546883e-08
"1573","30","False","1","1","3",0.000970011319566678,0.000885855056854195,0.00105296872637264
"1574","30","False","1","3","3",5.53896500626916e-06,3.91970074937424e-06,7.04083339816611e-06
"1575","30","True","1","1","3",0.00087952080982798,0.0007957710315455,0.000963581632676175
"1576","30","True","1","3","3",4.79340275528464e-06,3.31330234671572e-06,6.15176809437178e-06
"1577","30","False","2","1","3",2.75731657423296e-06,2.51449923750973e-06,2.99013086763505e-06
"1578","30","False","2","3","3",3.11333942034078e-07,2.40177027813272e-07,3.76972291053487e-07
"1579","30","True","2","1","3",2.51282058538543e-06,2.27446712561368e-06,2.73851972659844e-06
"1580","30","False","3","1","3",7.6615654265901e-06,6.58867234742741e-06,8.75753922361492e-06
"1581","30","False","3","3","3",5.48929402170128e-07,4.04541477820192e-07,6.85011324535178e-07
"1582","30","True","3","1","3",4.02920091732664e-06,3.44456816362359e-06,4.63706643434195e-06
"1583","30","True","3","3","3",1.47223029144182e-08,1.07108053911416e-08,1.85638390998322e-08
"1584","30","False","4","1","3",1.97656351772999e-05,1.75840548714768e-05,2.1971854073797e-05
"1585","30","False","4","3","3",4.64495485845244e-07,3.32157332494565e-07,5.86082329562182e-07
"1586","30","True","4","1","3",1.38268383830376e-05,1.21568028304949e-05,1.54260744775422e-05
"1587","30","True","4","3","3",1.4020119916909e-07,9.90837345693288e-08,1.79570370776982e-07
"1588","30","False","9","1","3",7.28376216384194e-05,6.43882654901608e-05,8.17571672172703e-05
"1589","30","False","9","3","3",1.5562675153048e-08,1.19178816670242e-08,1.90850366733325e-08
"1590","30","True","9","1","3",5.72089675226553e-05,5.03805937817972e-05,6.44118438884609e-05
"1591","30","True","9","3","3",1.19543665990453e-06,9.11770555003869e-07,1.48067729739936e-06
"1592","31","False","1","1","1",0.00100269881201454,0.000904680052107631,0.00109971115480821
"1593","31","False","1","3","1",3.75828403929946e-06,2.74412819538715e-06,4.71764029441373e-06
"1594","31","True","1","1","1",0.00100584832663136,0.000906704208465456,0.0011046346117368
"1595","31","True","1","3","1",6.11488359078031e-06,4.37536854417569e-06,7.79874993578387e-06
"1596","31","False","2","1","1",9.34223542537415e-05,8.45556664489428e-05,0.00010206054266876
"1597","31","False","2","3","1",2.40287250635972e-06,1.88193799584183e-06,2.8967014567184e-06
"1598","31","True","2","1","1",9.71586757283856e-05,8.77280313979611e-05,0.000106518326136814
"1599","31","True","2","3","1",1.77971853938937e-06,1.3829281339217e-06,2.16079068600152e-06
"1600","31","False","3","1","1",6.64213547325034e-05,5.72654545479854e-05,7.55658478207824e-05
"1601","31","False","3","3","1",4.7460374780751e-06,3.60333194473235e-06,5.88303753714498e-06
"1602","31","True","3","1","1",5.6225647795501e-05,4.85022946055342e-05,6.4120534492547e-05
"1603","31","True","3","3","1",1.96065605451799e-06,1.46090818680187e-06,2.44731460738719e-06
"1604","31","False","4","1","1",0.000187415363719566,0.000165207155112629,0.000209505272555551
"1605","31","False","4","3","1",9.08316745311307e-06,6.68872294376903e-06,1.1398466116093e-05
"1606","31","True","4","1","1",0.00019039942693167,0.000167138343123639,0.000212939293430959
"1607","31","True","4","3","1",7.40864411804176e-06,5.39068828728206e-06,9.3523693334282e-06
"1608","31","False","9","1","1",6.58681373091635e-05,5.7912028133643e-05,7.40913347664328e-05
"1609","31","False","9","3","1",1.58195088830861e-07,1.23610066252214e-07,1.9254477740459e-07
"1610","31","True","9","1","1",6.88105346943831e-05,6.01897991667477e-05,7.73893333480692e-05
"1611","31","True","9","3","1",4.99917735949707e-07,3.86833918176748e-07,6.13591870983101e-07
"1612","31","False","1","1","2",0.0010608875284674,0.000962934912155437,0.0011599393900025
"1613","31","False","1","3","2",6.84233283888743e-06,4.82726379810837e-06,8.75714721899845e-06
"1614","31","True","1","1","2",0.00101857478175308,0.000923319605548009,0.00111849507757419
"1615","31","True","1","3","2",8.09768382418834e-06,5.57341947319414e-06,1.05088861063754e-05
"1616","31","False","2","1","2",7.18122982724966e-05,6.52730917634376e-05,7.84216595038194e-05
"1617","31","False","2","3","2",5.9446119791887e-06,4.55390695537293e-06,7.2135712127603e-06
"1618","31","True","2","1","2",8.26950313589219e-05,7.48961823757986e-05,9.05413510747968e-05
"1619","31","True","2","3","2",2.93610876373646e-06,2.22451927746239e-06,3.5958164206347e-06
"1620","31","False","3","1","2",4.19766310285008e-05,3.58633178072374e-05,4.81994851705419e-05
"1621","31","False","3","3","2",7.50141780845257e-06,5.52696098127169e-06,9.43085543855046e-06
"1622","31","True","3","1","2",3.71958494901465e-05,3.16846243308584e-05,4.28892169585468e-05
"1623","31","True","3","3","2",5.03136664419278e-06,3.64382248872696e-06,6.35172471701647e-06
"1624","31","False","4","1","2",0.000131586387769586,0.000115692396189053,0.000147344862584658
"1625","31","False","4","3","2",1.44703562691583e-05,1.02582747448949e-05,1.84490068367355e-05
"1626","31","True","4","1","2",0.000139934027080921,0.000122240526409015,0.000157119145697286
"1627","31","True","4","3","2",1.63748363190564e-05,1.13911611923589e-05,2.09929967397684e-05
"1628","31","False","9","1","2",4.35742991140277e-05,3.81204619874917e-05,4.93459174413804e-05
"1629","31","False","9","3","2",5.04741049394198e-07,3.84989636133905e-07,6.20923366237649e-07
"1630","31","True","9","1","2",3.8191375182274e-05,3.33580034264099e-05,4.32713552044618e-05
"1631","31","True","9","3","2",2.11567084877941e-06,1.59103816142456e-06,2.62616940786755e-06
"1632","31","False","1","1","3",0.00157219216074428,0.00144292612717061,0.00170337326472654
"1633","31","False","1","3","3",9.43620187553836e-06,6.64102718585362e-06,1.20437369275558e-05
"1634","31","True","1","1","3",0.00131815472521095,0.00120264431031361,0.00143611767200776
"1635","31","True","1","3","3",8.16922403250878e-06,5.63046213800028e-06,1.05499965513301e-05
"1636","31","False","2","1","3",6.75391446465246e-05,6.16838164969593e-05,7.32009145384889e-05
"1637","31","False","2","3","3",2.66940781738838e-06,2.04107381238553e-06,3.22975146589119e-06
"1638","31","True","2","1","3",5.30776667895213e-05,4.81896318630729e-05,5.78953698244413e-05
"1639","31","True","2","3","3",9.60186296387341e-07,7.3048450897017e-07,1.17222637173202e-06
"1640","31","False","3","1","3",2.11061342358892e-05,1.81482790059033e-05,2.41987259453433e-05
"1641","31","False","3","3","3",3.47833955224813e-06,2.56891752062296e-06,4.3571301871871e-06
"1642","31","True","3","1","3",1.74363575376398e-05,1.49399601327447e-05,2.00499519594282e-05
"1643","31","True","3","3","3",3.28519747369519e-06,2.38598978686549e-06,4.13713963536286e-06
"1644","31","False","4","1","3",5.17601650180915e-05,4.57095362278405e-05,5.76296885147231e-05
"1645","31","False","4","3","3",1.32062243948326e-05,9.43772511965867e-06,1.67221958373115e-05
"1646","31","True","4","1","3",5.0364998439142e-05,4.42893033940249e-05,5.63690595880372e-05
"1647","31","True","4","3","3",1.5620749994481e-05,1.09266056943964e-05,2.00234382126529e-05
"1648","31","False","9","1","3",2.84648369919699e-05,2.50326939685513e-05,3.20052361451207e-05
"1649","31","False","9","3","3",1.88466230141124e-07,1.44203500787923e-07,2.31108670846759e-07
"1650","31","True","9","1","3",2.38920597025344e-05,2.09497811932981e-05,2.69891744455983e-05
"1651","31","True","9","3","3",1.5179783143675e-08,1.14729570399708e-08,1.87898177838705e-08
"1652","32","False","1","1","1",0.000793407305886258,0.00071408534863511,0.000871074167189874
"1653","32","False","1","3","1",5.16718228213843e-06,3.77778599086502e-06,6.47392281038524e-06
"1654","32","True","1","1","1",0.000793579379962892,0.000713784809806134,0.000873843890103832
"1655","32","True","1","3","1",7.35580056186402e-06,5.31683731310312e-06,9.35734843848806e-06
"1656","32","False","2","1","1",0.000255622229238697,0.000230385104114568,0.000279492484359535
"1657","32","False","2","3","1",1.92391775468059e-06,1.51312779385676e-06,2.31401982758987e-06
"1658","32","True","2","1","1",0.00024538360342016,0.000220993144153489,0.000269136009874401
"1659","32","True","2","3","1",1.76471991672457e-06,1.37492968496568e-06,2.13850176666834e-06
"1660","32","False","3","1","1",0.000212512886558447,0.000183926868986092,0.000241301803356148
"1661","32","False","3","3","1",2.23485954506349e-06,1.68792393875287e-06,2.7700907676621e-06
"1662","32","True","3","1","1",0.000196697218378477,0.000169017255725525,0.000224121852306625
"1663","32","True","3","3","1",1.03414729108456e-06,7.70245408126934e-07,1.28883162226372e-06
"1664","32","False","4","1","1",0.000722167832859842,0.000640542405359168,0.000804127537049215
"1665","32","False","4","3","1",1.4843482412287e-05,1.09287325507966e-05,1.85621323649054e-05
"1666","32","True","4","1","1",0.000717217439815662,0.000634237698890621,0.000797376511537355
"1667","32","True","4","3","1",1.69235085192713e-05,1.23745572466419e-05,2.12887615353234e-05
"1668","32","False","9","1","1",0.000149921344135685,0.000132043807912208,0.000168454227345018
"1669","32","False","9","3","1",1.65092705883958e-06,1.29418412987552e-06,2.00440575266811e-06
"1670","32","True","9","1","1",0.000139258855332296,0.000122362948067973,0.00015660224667147
"1671","32","True","9","3","1",1.35860043705972e-06,1.0560079680348e-06,1.65477558747444e-06
"1672","32","False","1","1","2",0.00102541093781211,0.00092479051172729,0.00112363265834224
"1673","32","False","1","3","2",5.821609193848e-06,4.13263837176821e-06,7.4233233645164e-06
"1674","32","True","1","1","2",0.0010508803257726,0.000949081395189401,0.00115479624941275
"1675","32","True","1","3","2",7.42067543148746e-06,5.09782523875701e-06,9.58504762300114e-06
"1676","32","False","2","1","2",0.000262121956302515,0.000237876859269667,0.000286079818955321
"1677","32","False","2","3","2",3.27461626284625e-06,2.52812004809965e-06,3.99147176322967e-06
"1678","32","True","2","1","2",0.000235695837825398,0.000212541011500316,0.000258128991487703
"1679","32","True","2","3","2",2.09397894772682e-06,1.59622212567246e-06,2.55847230577805e-06
"1680","32","False","3","1","2",0.000305397985368947,0.000260861221600081,0.000349892549980147
"1681","32","False","3","3","2",5.28309126618908e-06,3.87633591403192e-06,6.64531291983697e-06
"1682","32","True","3","1","2",0.000227233059852992,0.000193355238682641,0.000262155932594826
"1683","32","True","3","3","2",3.79683944407481e-06,2.76432285861594e-06,4.78429033153094e-06
"1684","32","False","4","1","2",0.000647633727383639,0.000574853391080619,0.000723607627632377
"1685","32","False","4","3","2",4.1128849265371e-05,2.9401652243832e-05,5.21165514282782e-05
"1686","32","True","4","1","2",0.000616027263776761,0.000543253647494527,0.000689203186539858
"1687","32","True","4","3","2",4.00497347367834e-05,2.80183518575725e-05,5.13194027506579e-05
"1688","32","False","9","1","2",0.000121250504475961,0.000106647834768636,0.000136872857536153
"1689","32","False","9","3","2",9.46340462831286e-07,7.25933386328132e-07,1.16523865567333e-06
"1690","32","True","9","1","2",0.000106671785483735,9.3611766388618e-05,0.000120339373990331
