RESPID,PHTYPE,top_household_concern,registered_vote,likely_to_vote,approve_trump,approve_biden,optimistic,elec_enthusiasm,party,party_unaffiliated,political_leaning,education,age,age_bin,latino,race,gender,state,FINALWGT,vote_choice_recoded,party_recoded,age_recoded,race_recoded,male,education_recoded,region,propensity
1253,2,10.0,True,1.0,False,False,False,2.0,3,3.0,3,7,45,,False,1,1,55,0.415502388,1,3.0,2,1,True,3,2,0.5017550319222035
1261,2,18.0,True,1.0,False,False,False,3.0,4,1.0,2,6,48,,False,1,1,29,0.79834643,1,1.0,2,1,True,3,2,0.5017550319222035
1262,2,20.0,True,1.0,True,False,False,3.0,4,1.0,4,8,50,,False,1,1,45,0.400304182,1,1.0,2,1,True,3,3,0.5017550319222035
1267,2,10.0,True,1.0,True,False,True,1.0,1,,4,7,99,2.0,False,1,1,45,0.39229809836,1,1.0,3,1,True,3,3,0.4940945771976026
1282,2,30.0,True,1.0,False,False,True,3.0,1,,2,5,51,,False,1,1,29,0.782379501400001,1,1.0,2,1,True,3,2,0.5017550319222035
1287,2,20.0,True,1.0,False,False,True,1.0,2,,3,5,21,,True,1,2,6,3.364276933975,0,2.0,1,4,False,3,4,0.3176068230824714
1293,2,9.0,True,1.0,False,False,True,3.0,1,,2,7,52,,False,1,1,47,0.39229809836,1,1.0,2,1,True,3,3,0.5017550319222035
1308,1,18.0,True,1.0,False,False,False,1.0,2,,2,5,54,,False,1,2,31,0.954511154875002,0,2.0,2,1,False,3,2,0.4092546370180767
1316,2,20.0,True,1.0,False,False,False,2.0,2,,3,8,49,,False,1,2,17,0.49677890465,0,2.0,2,1,False,3,2,0.4092546370180767
1327,2,3.0,True,1.0,False,False,False,3.0,2,,1,7,34,,False,1,2,17,0.586036384349997,0,2.0,1,1,False,3,2,0.3689259300784175
1349,2,3.0,True,3.0,False,True,False,3.0,2,,1,8,42,,False,1,2,36,0.576984409475001,0,2.0,2,1,False,3,1,0.4092546370180767
1363,2,20.0,True,1.0,False,False,False,2.0,4,1.0,3,6,36,,True,1,2,34,2.100188652,0,1.0,2,4,False,3,1,0.3549324737949213
1365,2,1.0,True,4.0,False,False,False,3.0,1,,2,5,22,,False,1,1,12,1.1907831089,1,1.0,1,1,True,3,3,0.4589593559582667
1367,2,20.0,True,1.0,True,False,False,1.0,1,,2,8,54,,False,1,2,39,0.47496909908,1,1.0,2,1,False,3,2,0.4092546370180767
1371,2,17.0,True,1.0,True,False,False,3.0,4,1.0,4,3,30,,False,1,1,29,2.092686812,1,1.0,1,1,True,1,2,0.6232752821548939
1372,2,1.0,True,1.0,False,False,False,2.0,1,,4,8,47,,False,1,1,47,0.39229809836,0,1.0,2,1,True,3,3,0.5017550319222035
1375,2,13.0,True,1.0,False,False,False,3.0,3,2.0,1,7,20,,True,1,1,48,1.009255695,0,3.0,1,4,True,3,3,0.3959243556474406
1377,1,5.0,True,1.0,False,False,False,3.0,3,3.0,2,6,61,,True,1,2,36,2.080444177,0,3.0,3,4,False,3,1,0.3483251919970561
1378,1,2.0,True,1.0,False,False,True,1.0,3,2.0,1,5,51,,False,1,2,13,0.897167939,0,3.0,2,1,False,3,3,0.4092546370180767
1394,2,1.0,True,1.0,False,False,False,2.0,2,,1,7,33,,False,2,2,22,0.549080067775,0,2.0,1,2,False,3,3,0.0680827394291932
1395,1,20.0,True,1.0,False,False,True,3.0,3,1.0,3,8,65,,False,1,2,12,0.491043956,1,3.0,3,1,False,3,3,0.4017733184599421
1396,2,1.0,True,3.0,False,False,False,2.0,4,1.0,1,7,22,,False,3,1,36,1.609777461,1,1.0,1,3,True,3,1,0.2661093840543796
1400,2,13.0,True,1.0,False,False,True,3.0,2,,3,8,45,,False,1,1,42,0.49465035275,1,2.0,2,1,True,3,1,0.5017550319222035
1423,1,9.0,True,1.0,True,False,True,3.0,1,,4,6,76,,False,1,1,36,0.900152632120002,1,1.0,3,1,True,3,1,0.4940945771976026
1429,2,20.0,True,1.0,False,False,True,1.0,2,,1,8,32,,False,1,1,36,0.583525390599999,0,2.0,1,1,True,3,1,0.4589593559582667
1430,1,20.0,True,1.0,False,True,True,3.0,2,,3,8,62,,False,1,2,39,0.5224294292,0,2.0,3,1,False,3,2,0.4017733184599421
1433,2,20.0,True,1.0,False,True,True,1.0,2,,1,7,45,,False,1,1,12,0.41031178655,0,2.0,2,1,True,3,3,0.5017550319222035
1436,2,20.0,True,1.0,True,False,True,1.0,1,,4,7,57,,False,1,1,48,0.45407762862,1,1.0,3,1,True,3,3,0.4940945771976026
1438,1,1.0,True,1.0,True,False,True,1.0,1,,4,7,51,,False,1,1,45,0.39229809836,1,1.0,2,1,True,3,3,0.5017550319222035
1441,2,2.0,True,2.0,False,False,True,3.0,2,,1,3,33,,False,1,1,21,2.06654423185001,0,2.0,1,1,True,1,3,0.6232752821548939
1459,1,20.0,True,2.0,False,False,False,2.0,3,2.0,3,6,59,,False,2,2,1,0.864302961,0,3.0,3,2,False,3,3,0.0768634545783466
